team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,recTotalCatches,recAvgCatchPct,recTotalDrops,recTotalLongest,recTotalTDs,recTotalYdsAfterCatch,recTotalYds,recAvgYacPerCatch,recAvgYdsPerCatch,recAvgYdsPerGame
49ers,SF,14,,WR,553388059,Ricky Pearsall,1,0,10206,1,1,4.00,5,100.00,0,19,0,17,40,3.40,8.00,49.00
49ers,SF,14,,WR,553386014,Brandon Aiyuk,5,0,71,11,1,8.40,5,100.00,0,17,1,11,24,2.20,4.80,45.80
49ers,SF,14,,WR,553387316,Jauan Jennings,5,0,391,15,1,11.50,1,100.00,0,55,1,13,55,13.00,55.00,45.40
49ers,SF,14,,HB,553387697,Christian McCaffrey,8,0,8655,23,1,3.30,5,100.00,0,14,0,50,33,10.00,6.60,24.00
49ers,SF,14,,TE,553387484,George Kittle,8,0,8622,85,1,1.20,2,66.67,1,7,0,3,12,1.50,6.00,41.00
49ers,SF,14,,FB,553387434,Kyle Juszczyk,12,0,6869,44,1,1.40,1,100.00,0,14,0,15,14,15.00,14.00,9.60
Bengals,CIN,1,,WR,553387243,Andrei Iosivas,2,0,2229,80,1,0.40,2,66.67,1,2,0,0,4,0.00,2.00,46.20
Bengals,CIN,1,,HB,553386312,Chase Brown,2,0,1827,30,1,6.00,6,85.71,1,25,0,65,60,10.83,10.00,32.80
Bengals,CIN,1,,WR,553388648,Mitchell Tinsley,2,0,10976,82,1,1.90,3,100.00,0,10,0,7,19,2.33,6.33,16.80
Bengals,CIN,1,,WR,553386439,Ja'Marr Chase,4,0,1370,1,1,21.90,8,80.00,2,53,1,35,159,4.38,19.88,103.40
Bengals,CIN,1,,WR,553387141,Tee Higgins,5,0,351,5,1,21.10,7,100.00,0,77,1,30,151,4.29,21.57,51.60
Bengals,CIN,1,,TE,553386774,Noah Fant,6,0,9452,86,1,1.10,1,100.00,0,11,0,0,11,0.00,11.00,5.40
Bengals,CIN,1,,TE,553386900,Mike Gesicki,7,0,8900,88,1,16.60,7,100.00,0,37,1,50,106,7.14,15.14,68.00
Bills,BUF,2,,WR,553386482,Keon Coleman,1,0,10038,0,1,7.90,8,80.00,2,21,0,22,79,2.75,9.88,49.20
Bills,BUF,2,,TE,553387469,Dalton Kincaid,2,0,2277,86,1,1.80,3,75.00,1,13,0,18,18,6.00,6.00,34.60
Bills,BUF,2,,HB,553386505,James Cook III,3,0,1304,4,1,1.90,1,100.00,0,19,0,23,19,23.00,19.00,18.40
Bills,BUF,2,,WR,553388365,Khalil Shakir,3,0,1942,10,1,4.50,2,100.00,0,37,0,21,45,10.50,22.50,52.80
Bills,BUF,2,,WR,553387845,Elijah Moore,4,0,1162,18,1,0.60,1,100.00,0,6,0,2,6,2.00,6.00,7.40
Bills,BUF,2,,WR,553388030,Joshua Palmer,4,0,1248,5,1,7.50,2,100.00,0,10,1,5,15,2.50,7.50,57.00
Bills,BUF,2,,TE,553387492,Dawson Knox,6,0,9546,88,1,0.00,0,0.00,1,0,0,0,0,0.00,0.00,21.20
Broncos,DEN,3,,WR,553386343,Pat Bryant,0,0,10507,13,1,5.70,6,100.00,0,17,0,17,57,2.83,9.50,33.00
Broncos,DEN,3,,HB,553387072,RJ Harvey,0,0,10579,12,1,1.80,4,80.00,1,8,0,35,18,8.75,4.50,30.80
Broncos,DEN,3,,WR,553387811,Marvin Mims Jr,2,0,2312,19,1,4.20,4,66.67,2,30,0,27,42,6.75,10.50,39.20
Broncos,DEN,3,,WR,553388553,Courtland Sutton,7,0,9072,14,1,1.50,2,100.00,0,10,0,4,15,2.00,7.50,40.60
Broncos,DEN,3,,TE,553386741,Evan Engram,8,0,8545,1,1,2.00,4,100.00,0,8,0,9,20,2.25,5.00,24.40
Browns,CLE,4,,TE,553389042,CJ Dippre,0,0,10536,82,1,0.90,1,100.00,0,9,0,10,9,10.00,9.00,4.40
Browns,CLE,4,,HB,553388312,Dylan Sampson,0,0,10716,22,1,13.20,5,83.33,1,21,1,70,72,14.00,14.40,21.80
Browns,CLE,4,,WR,553389133,Isaiah Bond,0,0,10494,16,1,9.70,9,90.00,1,20,0,39,97,4.33,10.78,66.80
Browns,CLE,4,,HB,553387429,Quinshon Judkins,0,0,10618,10,1,0.90,1,100.00,0,9,0,2,9,2.00,9.00,2.40
Browns,CLE,4,,WR,553387319,Jerry Jeudy,5,0,392,3,1,8.80,7,87.50,1,30,0,17,88,2.43,12.57,65.80
Browns,CLE,4,,TE,553387939,David Njoku,8,0,8674,85,1,2.50,2,100.00,0,18,0,19,25,9.50,12.50,31.20
