team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,rushTotalAtt,rushTotalBrokenTackles,rushTotalFum,rushTotalLongest,rushTotalTDs,rushTotal20PlusYds,rushTotalYdsAfterContact,rushTotalYds,rushAvgYdsAfterContact,rushAvgYdsPerAtt,rushAvgYdsPerGame
49ers,SF,14,,HB,553386986,Isaac Guerendo,1,0,10091,31,1,0.80,2,0,0,10,0,0,2,8,2.00,4.00,8.00
49ers,SF,14,,WR,553388059,Ricky Pearsall,1,0,10206,1,1,4.00,1,0,0,12,0,0,1,12,1.00,12.00,2.40
49ers,SF,14,,QB,553388147,Brock Purdy,3,0,1899,13,1,3.50,5,0,0,20,0,1,6,35,6.00,7.00,24.60
49ers,SF,14,,WR,553386014,Brandon Aiyuk,5,0,71,11,1,8.40,0,1,0,0,0,0,0,0,0.00,0.00,0.00
49ers,SF,14,,HB,553387697,Christian McCaffrey,8,0,8655,23,1,3.30,21,1,0,23,0,2,18,92,18.00,4.38,74.80
Bengals,CIN,1,,HB,553386312,Chase Brown,2,0,1827,30,1,6.00,8,2,0,14,0,0,11,21,11.00,2.62,72.20
Bengals,CIN,1,,WR,553386439,Ja'Marr Chase,4,0,1370,1,1,21.90,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Bengals,CIN,1,,QB,553386364,Joe Burrow,5,0,198,9,1,1.30,2,0,0,11,0,0,1,13,1.00,6.50,19.60
Bengals,CIN,1,,WR,553387141,Tee Higgins,5,0,351,5,1,21.10,0,2,0,0,0,0,0,0,0.00,0.00,0.20
Bengals,CIN,1,,HB,553388076,Samaje Perine,9,0,8685,34,1,0.50,1,1,0,5,0,0,1,5,1.00,5.00,5.60
Bills,BUF,2,,HB,553386594,Ray Davis,1,0,10051,22,1,0.40,2,1,0,6,0,0,2,4,2.00,2.00,2.80
Bills,BUF,2,,HB,553386505,James Cook III,3,0,1304,4,1,1.90,19,2,0,12,0,0,26,80,26.00,4.21,63.20
Bills,BUF,2,,QB,553386033,Josh Allen,7,0,8800,17,1,8.10,5,0,1,21,1,1,1,41,1.00,8.20,38.00
Broncos,DEN,3,,HB,553387072,RJ Harvey,0,0,10579,12,1,1.80,15,2,0,17,0,0,16,74,16.00,4.93,70.40
Broncos,DEN,3,,QB,553387936,Bo Nix,1,0,10195,10,1,8.60,6,0,1,26,1,1,3,46,3.00,7.67,42.80
Broncos,DEN,3,,WR,553387811,Marvin Mims Jr,2,0,2312,19,1,4.20,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Broncos,DEN,3,,HB,553386652,J.K. Dobbins,5,0,257,27,1,-0.10,1,0,0,0,0,0,0,-1,0.00,-1.00,2.80
Browns,CLE,4,,HB,553388312,Dylan Sampson,0,0,10716,22,1,13.20,19,0,0,11,0,0,24,68,24.00,3.58,58.40
Browns,CLE,4,,WR,553389133,Isaiah Bond,0,0,10494,16,1,9.70,0,4,0,0,0,0,0,0,0.00,0.00,0.00
Browns,CLE,4,,HB,553387429,Quinshon Judkins,0,0,10618,10,1,0.90,1,0,0,0,0,0,2,0,2.00,0.00,3.80
Browns,CLE,4,,QB,553388636,Dorian Thompson-Robinson,2,0,2616,14,1,1.20,8,0,3,31,0,1,10,72,10.00,9.00,60.00
Browns,CLE,4,,WR,553387319,Jerry Jeudy,5,0,392,3,1,8.80,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Buccaneers,TB,5,,HB,553387244,Bucky Irving,1,0,10113,7,1,1.50,10,4,0,12,0,0,21,38,21.00,3.80,89.00
Buccaneers,TB,5,,HB,553388853,Rachaad White,3,0,2028,1,1,1.90,5,1,0,10,0,0,4,19,4.00,3.80,12.40
Buccaneers,TB,5,,QB,553387689,Baker Mayfield,7,0,8982,6,1,1.90,3,0,0,13,0,0,4,19,4.00,6.33,25.60
Buccaneers,TB,5,,WR,553386928,Chris Godwin Jr,8,0,8567,14,1,17.00,0,1,0,0,0,0,0,0,0.00,0.00,-0.40
Cardinals,ARI,6,,HB,553386186,Trey Benson,1,0,10011,33,1,3.00,6,2,0,8,0,0,0,30,0.00,5.00,13.60
Cardinals,ARI,6,,TE,553387696,Trey McBride,3,0,1830,85,1,3.60,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Cardinals,ARI,6,,QB,553387895,Kyler Murray,6,0,9583,1,1,0.90,4,0,0,5,0,0,0,9,0.00,2.25,52.20
Cardinals,ARI,6,,HB,553386498,James Conner,8,0,8515,6,1,14.50,18,2,0,9,1,0,2,85,2.00,4.72,100.20
Chargers,LAC,7,,HB,553387024,Omarion Hampton,0,0,10572,8,1,3.10,21,8,0,12,0,0,53,83,53.00,3.95,73.20
Chargers,LAC,7,,QB,553387119,Justin Herbert,5,0,346,10,1,3.60,9,1,1,16,0,0,5,56,5.00,6.22,46.00
Chargers,LAC,7,,WR,553387341,Diontae Johnson,6,0,9529,85,1,1.50,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Chargers,LAC,7,,FB,553386214,Khari Blasingame,6,0,100,31,1,0.30,1,0,0,1,0,0,1,1,1.00,1.00,0.40
Chiefs,KC,8,,HB,553388431,Brashard Smith,0,0,10735,24,1,0.10,3,0,0,1,0,0,2,1,2.00,0.33,3.00
Chiefs,KC,8,,WR,553388289,Jalen Royals,0,0,10714,11,1,15.60,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Chiefs,KC,8,,HB,553388027,Isiah Pacheco,3,0,1875,10,1,3.30,14,8,0,15,0,0,42,55,42.00,3.93,62.20
Chiefs,KC,8,,QB,553387644,Patrick Mahomes,8,0,8648,15,1,10.50,4,0,0,17,1,0,7,45,7.00,11.25,19.80
Colts,IND,9,,WR,553388099,Alec Pierce,3,0,1890,14,1,-0.20,2,0,0,0,0,0,0,-2,0.00,-1.00,-1.00
Colts,IND,9,,HB,553388580,Jonathan Taylor,5,0,604,28,1,16.30,14,3,0,16,0,0,24,61,24.00,4.36,90.40
Colts,IND,9,,WR,553386684,Ashton Dulin,6,0,9444,16,1,0.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Colts,IND,9,,QB,553387388,Daniel Jones,6,0,9537,17,1,1.50,5,0,0,6,0,0,6,15,6.00,3.00,34.80
Commanders,WAS,25,,HB,553386537,Jacory Croskey-Merritt,0,0,11008,22,1,4.30,9,3,0,6,0,0,10,15,10.00,1.67,45.80
Commanders,WAS,25,,QB,553386563,Jayden Daniels,1,0,10048,5,1,8.40,6,1,0,29,0,2,9,84,9.00,14.00,61.20
Commanders,WAS,25,,HB,553388267,Chris Rodriguez Jr,2,0,4910,36,1,-0.20,3,0,0,0,0,0,1,-2,1.00,-0.67,5.80
Commanders,WAS,25,,WR,553388314,Deebo Samuel Sr,6,0,9618,1,1,1.50,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Cowboys,DAL,10,,HB,553386217,Jaydon Blue,0,0,10493,23,1,-0.50,2,0,0,0,0,0,0,-5,0.00,-2.50,8.40
Cowboys,DAL,10,,FB,553387623,Hunter Luepke,2,0,2291,40,1,0.20,1,0,0,5,0,0,0,5,0.00,5.00,4.60
Cowboys,DAL,10,,TE,553386794,Jake Ferguson,3,0,1577,87,1,2.50,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Cowboys,DAL,10,,WR,553388654,Jalen Tolbert,3,0,1987,1,1,7.80,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Cowboys,DAL,10,,HB,553388886,Javonte Williams,4,0,1118,33,1,6.70,17,8,0,21,1,1,30,84,30.00,4.94,59.80
Cowboys,DAL,10,,WR,553387519,CeeDee Lamb,5,0,418,88,1,5.20,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Cowboys,DAL,10,,QB,553388133,Dak Prescott,9,0,8179,4,1,2.80,1,2,0,28,0,1,20,28,20.00,28.00,24.60
Dolphins,MIA,11,,HB,553386943,Ollie Gordon II,0,0,10563,31,1,0.90,4,1,0,8,0,0,5,9,5.00,2.25,20.20
Dolphins,MIA,11,,HB,553388987,Jaylen Wright,1,0,10306,5,1,1.10,2,1,0,9,0,0,9,11,9.00,5.50,3.80
Dolphins,MIA,11,,HB,553385991,De'Von Achane,2,0,676,28,1,3.50,18,2,0,57,1,3,20,180,20.00,10.00,133.80
Dolphins,MIA,11,,WR,553388756,Jaylen Waddle,4,0,1374,17,1,17.80,0,1,0,0,0,0,0,0,0.00,0.00,-1.40
Dolphins,MIA,11,,QB,553388565,Tua Tagovailoa,5,0,600,1,1,17.00,6,0,0,12,2,0,9,50,9.00,8.33,37.00
Eagles,PHI,12,,FB,553388737,Ben VanSumeren,2,0,10470,43,1,0.30,1,0,0,3,0,0,0,3,0.00,3.00,1.40
Eagles,PHI,12,,HB,553386198,Tank Bigsby,2,0,2539,37,1,0.80,2,1,0,8,0,0,6,8,6.00,4.00,1.60
Eagles,PHI,12,,WR,553388435,DeVonta Smith,4,0,1369,6,1,6.30,1,1,0,2,1,0,0,2,0.00,2.00,0.60
Eagles,PHI,12,,QB,553387229,Jalen Hurts,5,0,704,1,1,2.70,5,0,1,20,0,1,2,47,2.00,9.40,20.20
Eagles,PHI,12,,WR,553386305,A.J. Brown,6,0,9397,11,1,3.30,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Eagles,PHI,12,,TE,553386930,Dallas Goedert,7,0,8901,88,1,1.60,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Eagles,PHI,12,,HB,553386125,Saquon Barkley,7,0,8813,26,1,8.80,23,11,0,47,1,1,71,170,71.00,7.39,171.00
Giants,NYG,15,,HB,553388407,Cam Skattebo,0,0,10732,44,1,3.70,17,3,0,18,1,0,43,96,43.00,5.65,54.40
Giants,NYG,15,,QB,553386569,Jaxson Dart,0,0,10533,6,1,-4.20,6,0,4,16,0,0,5,38,5.00,6.33,28.00
Giants,NYG,15,,HB,553388673,Tyrone Tracy Jr,1,0,10268,29,1,-0.10,1,0,0,1,0,0,2,1,2.00,1.00,7.20
Giants,NYG,15,,WR,553388262,Wan'Dale Robinson,3,0,1924,17,1,5.20,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Jaguars,JAX,16,,HB,553388714,Bhayshul Tuten,0,0,10762,33,1,0.00,0,1,0,0,0,0,0,0,0.00,0.00,2.40
Jaguars,JAX,16,,HB,553386037,LeQuint Allen,0,0,10476,36,1,6.40,1,0,0,4,1,0,2,4,2.00,4.00,3.60
Jaguars,JAX,16,,WR,553386314,Dyami Brown,4,0,1349,5,1,20.40,1,0,0,0,0,0,-5,-7,-5.00,-7.00,-1.40
Jaguars,JAX,16,,HB,553386749,Travis Etienne Jr,4,0,1365,1,1,0.60,16,5,0,28,0,1,26,82,26.00,5.12,76.60
Jaguars,JAX,16,,QB,553387544,Trevor Lawrence,4,0,1372,16,1,5.80,6,0,0,27,0,2,12,58,12.00,9.67,23.00
Jets,NYJ,17,,WR,553388427,Arian Smith,0,0,10734,82,1,14.50,0,1,0,0,0,0,0,0,0.00,0.00,-0.60
Jets,NYJ,17,,HB,553387002,Breece Hall,3,0,1747,20,1,1.70,16,9,0,25,0,2,49,91,49.00,5.69,74.20
Jets,NYJ,17,,QB,553386800,Justin Fields,4,0,1366,7,1,16.00,8,3,0,31,1,2,15,100,15.00,12.50,111.20
Jets,NYJ,17,,HB,553387120,Khalil Herbert,4,0,1245,36,1,0.60,1,1,0,6,0,0,2,6,2.00,6.00,2.80
Jets,NYJ,17,,WR,553387035,Mecole Hardman,6,0,9489,88,1,1.20,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Lions,DET,18,,HB,553386903,Jahmyr Gibbs,2,0,2564,0,1,6.20,16,6,0,23,0,1,13,45,13.00,2.81,63.80
Lions,DET,18,,WR,553388885,Jameson Williams,3,0,2033,1,1,28.50,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Lions,DET,18,,WR,553388490,Amon-Ra St. Brown,4,0,1313,14,1,2.50,1,0,0,2,0,0,0,2,0.00,2.00,0.40
Lions,DET,18,,HB,553387835,David Montgomery,6,0,9577,5,1,0.50,3,0,0,4,0,0,6,5,6.00,1.67,5.80
Lions,DET,18,,QB,553386931,Jared Goff,9,0,8021,16,1,0.10,1,0,0,1,0,0,0,1,0.00,1.00,3.20
Panthers,CAR,20,,HB,553386293,Jonathon Brooks,1,0,10022,24,1,1.90,14,2,0,19,0,0,18,53,18.00,3.79,71.20
Panthers,CAR,20,,WR,553387559,Xavier Legette,1,0,10156,17,1,5.70,0,1,0,0,0,0,0,0,0.00,0.00,0.40
Panthers,CAR,20,,QB,553389004,Bryce Young,2,0,2638,9,1,0.00,4,1,2,27,0,1,0,40,0.00,10.00,26.60
Panthers,CAR,20,,HB,553387203,Chuba Hubbard,4,0,1234,30,1,-0.20,1,0,0,0,0,0,0,-2,0.00,-2.00,-0.60
Panthers,CAR,20,,HB,553386666,Rico Dowdle,5,0,259,5,1,0.50,1,0,0,3,0,0,0,3,0.00,3.00,2.20
Patriots,NE,21,,HB,553387109,TreVeyon Henderson,0,0,10584,32,1,1.00,13,0,0,16,1,0,12,34,12.00,2.62,56.40
Patriots,NE,21,,QB,553387686,Drake Maye,1,0,10165,10,1,0.20,2,0,1,19,0,0,3,22,3.00,11.00,12.40
Patriots,NE,21,,WR,553386246,Kayshon Boutte,2,0,1640,9,1,7.80,0,1,1,0,0,0,0,0,0.00,0.00,-0.60
Patriots,NE,21,,HB,553386904,Antonio Gibson,5,0,297,4,1,0.60,3,0,0,2,0,0,3,4,3.00,1.33,4.40
Patriots,NE,21,,WR,553386642,Stefon Diggs,10,0,7085,8,1,8.90,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Raiders,LV,22,,HB,553387300,Ashton Jeanty,0,0,10611,2,1,39.00,26,1,0,25,4,2,39,150,39.00,5.77,113.60
Raiders,LV,22,,WR,553388693,Tre Tucker,2,0,2436,1,1,7.90,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Raiders,LV,22,,HB,553387868,Raheem Mostert,10,0,7768,31,1,0.30,1,1,0,14,0,0,14,14,14.00,14.00,21.00
Raiders,LV,22,,QB,553388437,Geno Smith,12,0,6078,7,1,4.80,7,0,0,18,0,0,2,48,2.00,6.86,50.80
Rams,LAR,23,,HB,553386519,Blake Corum,1,0,10043,22,1,1.50,2,0,0,19,0,0,3,15,3.00,7.50,3.60
Rams,LAR,23,,WR,553387907,Puka Nacua,2,0,4785,12,1,3.60,0,1,0,0,0,0,0,0,0.00,0.00,0.20
Rams,LAR,23,,HB,553388893,Kyren Williams,3,0,2036,23,1,6.80,15,3,0,22,0,1,42,70,42.00,4.67,102.20
Rams,LAR,23,,WR,553385992,Davante Adams,11,0,6328,17,1,19.20,0,5,0,0,0,0,0,0,0.00,0.00,0.00
Rams,LAR,23,,QB,553388491,Matthew Stafford,16,0,6302,9,1,0.30,1,0,0,3,0,0,0,3,0.00,3.00,7.60
Ravens,BAL,24,,WR,553388779,Tylan Wallace,4,0,1237,16,1,8.10,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Ravens,BAL,24,,HB,553387148,Justice Hill,6,0,9501,43,1,0.10,3,1,0,10,0,0,5,13,5.00,4.33,14.00
Ravens,BAL,24,,QB,553387273,Lamar Jackson,7,0,8940,8,1,0.10,8,0,1,10,0,0,2,21,2.00,2.62,46.80
Ravens,BAL,24,,HB,553387116,Derrick Henry,9,0,8045,22,1,0.80,16,8,0,18,1,0,62,82,62.00,5.12,53.00
Ravens,BAL,24,,WR,553387185,DeAndre Hopkins,12,0,5873,10,1,4.20,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Saints,NO,26,,QB,553388215,Anthony Richardson Sr,2,0,2609,5,1,9.90,6,0,0,16,1,0,4,39,4.00,6.50,36.20
Saints,NO,26,,HB,553388241,Brian Robinson Jr,3,0,1918,3,1,0.10,21,1,1,20,3,1,30,115,30.00,5.48,59.60
Saints,NO,26,,HB,553387437,Alvin Kamara,8,0,8617,41,1,3.30,4,2,0,14,0,0,6,33,6.00,8.25,25.80
Seahawks,SEA,27,,QB,553387807,Jalen Milroe,0,0,10664,6,1,11.60,7,0,0,15,1,0,3,56,3.00,8.00,74.80
Seahawks,SEA,27,,WR,553387193,Tory Horton,0,0,10594,15,1,4.90,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Seahawks,SEA,27,,WR,553388463,Jaxon Smith-Njigba,2,0,2401,11,1,8.00,1,0,0,2,0,0,0,2,0.00,2.00,0.40
Seahawks,SEA,27,,HB,553388761,Kenneth Walker III,3,0,2005,9,1,5.20,23,5,1,16,3,0,20,111,20.00,4.83,65.20
Texans,HOU,31,,QB,553388538,C.J. Stroud,2,0,2417,7,1,7.20,5,0,2,21,1,1,2,52,2.00,10.40,30.80
Texans,HOU,31,,TE,553386340,Harrison Bryant,5,0,193,88,1,1.40,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Texans,HOU,31,,TE,553388342,Dalton Schultz,7,0,9050,86,1,7.00,0,1,0,0,0,0,0,0,0.00,0.00,-0.20
Texans,HOU,31,,HB,553387825,Joe Mixon,8,0,9241,28,1,3.00,16,9,0,16,0,0,41,95,41.00,5.94,77.20
Titans,TEN,29,,QB,553388785,Cam Ward,0,0,10768,1,1,1.40,3,0,0,6,0,0,0,14,0.00,4.67,22.40
Titans,TEN,29,,HB,553388478,Tyjae Spears,2,0,2405,2,1,0.20,1,1,0,2,0,0,1,2,1.00,2.00,-0.20
Titans,TEN,29,,TE,553387980,Chigoziem Okonkwo,3,0,1869,85,1,9.30,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Titans,TEN,29,,HB,553388118,Tony Pollard,6,0,9600,20,1,1.00,14,3,0,8,0,0,2,51,2.00,3.64,48.80
Vikings,MIN,30,,QB,553387701,J.J. McCarthy,1,0,10167,9,1,9.90,6,0,0,14,1,0,5,39,5.00,6.50,35.00
Vikings,MIN,30,,HB,553387665,Jordan Mason,3,0,4679,27,1,1.50,1,0,0,15,0,0,0,15,0.00,15.00,8.40
Vikings,MIN,30,,HB,553387377,Aaron Jones Sr,8,0,8609,33,1,3.30,18,2,0,58,0,1,22,109,22.00,6.06,71.60
