team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,puntsTotalBlocked,puntsTotalIn20,puntTotalLongest,puntTotalTBs,puntAvgNetYdsPerAtt,puntTotalNetYds,puntTotalAtt,puntAvgYdsPerAtt,puntTotalYds
49ers,SF,14,,P,553387862,Thomas Morstead,16,0,2184,7,1,0,1,45,0,30.25,121,4,36.25,145
Bengals,CIN,1,,P,553388192,Ryan Rehkow,1,0,10223,8,1,0,0,47,0,39.50,79,2,40.50,81
Bills,BUF,2,,P,553388948,Mitch Wishnowsky,6,0,9689,19,1,0,0,51,0,43.50,174,4,47.75,191
Broncos,DEN,3,,P,553386533,Jeremy Crawshaw,0,0,10530,16,1,0,0,42,0,35.80,179,5,40.20,201
Browns,CLE,4,,P,553386223,Corey Bojorquez,7,0,9325,13,1,0,0,45,1,38.60,193,5,43.00,215
Buccaneers,TB,5,,P,553386651,Riley Dixon,9,0,7978,9,1,0,2,49,1,40.17,241,6,44.67,268
Cardinals,ARI,6,,P,553386913,Blake Gillikin,5,0,878,12,1,0,0,60,1,48.67,146,3,50.67,152
Chargers,LAC,7,,P,553388348,JK Scott,7,0,9052,16,1,0,1,46,0,43.00,129,3,45.00,135
Chiefs,KC,8,,P,553386072,Matt Araiza,3,0,1140,14,1,0,1,59,1,31.00,155,5,35.20,176
Colts,IND,9,,K,553388385,Spencer Shrader,1,0,10964,3,1,0,0,6,0,0.00,-65,0,0.00,6
Colts,IND,9,,P,553388317,Rigoberto Sanchez,8,0,9282,8,1,0,2,45,0,37.17,223,6,37.67,226
Commanders,WAS,25,,P,553388825,Tress Way,12,0,7370,10,1,0,0,43,0,33.20,166,5,33.20,166
Cowboys,DAL,10,,P,553386065,Bryan Anger,13,0,5023,5,1,0,1,47,0,40.43,283,7,42.71,299
Dolphins,MIA,11,,P,553386105,Jake Bailey,6,0,9373,16,1,0,0,45,0,33.50,134,4,41.00,164
Eagles,PHI,12,,P,553388523,Ryan Stonehouse,3,0,5015,19,1,0,1,56,1,41.00,164,4,49.75,199
Giants,NYG,15,,P,553386910,Jamie Gillan,6,0,125,12,1,0,0,45,0,31.50,126,4,36.50,146
Jaguars,JAX,16,,P,553386506,Logan Cooke,7,0,9331,9,1,0,0,48,0,35.75,143,4,43.50,174
Jets,NYJ,17,,P,553386330,Jack Browning,1,0,0,17,1,0,1,48,1,33.40,167,5,42.40,212
Lions,DET,18,,P,553386841,Jack Fox,7,0,9460,3,1,0,2,43,0,33.33,100,3,36.33,109
Panthers,CAR,20,,P,553387662,Sam Martin,12,0,6649,6,1,0,1,50,2,34.00,238,7,39.86,279
Patriots,NE,21,,P,553386124,Bryce Baringer,2,0,2645,17,1,0,1,49,0,35.80,179,5,43.20,216
Raiders,LV,22,,P,553386479,A.J. Cole,6,0,220,6,1,0,3,50,0,37.25,149,4,39.00,156
Rams,LAR,23,,P,553386755,Ethan Evans,2,0,3146,42,1,0,1,42,0,24.33,73,3,29.00,87
Ravens,BAL,24,,P,553388524,Jordan Stout,3,0,1957,11,1,0,3,57,1,34.83,209,6,39.50,237
Saints,NO,26,,P,553386361,James Burnip,0,0,10512,46,1,0,2,48,0,38.80,194,5,38.80,194
Seahawks,SEA,27,,P,553386638,Michael Dickson,7,0,8870,4,1,0,0,46,0,45.67,137,3,45.67,137
Texans,HOU,31,,P,553388672,Tommy Townsend,5,0,620,6,1,0,1,54,1,38.25,153,4,45.25,181
Titans,TEN,29,,P,553387102,Johnny Hekker,13,0,5860,3,1,0,2,56,2,48.33,290,6,49.33,296
Vikings,MIN,30,,P,553388991,Ryan Wright,3,0,2671,17,1,0,3,54,0,42.43,297,7,44.57,312
