team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,passTotalAtt,passTotalComp,passAvgCompPct,passTotalInts,passTotalLongest,passerAvgRating,passTotalSacks,passTotalTDs,passTotalYds,passAvgYdsPerAtt,passAvgYdsPerGame
49ers,SF,14,,QB,553388147,Brock Purdy,3,0,1899,13,1,3.50,27,19,70.37,0,55,112.80,1,2,178,6.59,232.40
Bengals,CIN,1,,QB,553386364,Joe Burrow,5,0,198,9,1,1.30,47,34,72.34,1,77,119.90,3,3,510,10.85,328.60
Bills,BUF,2,,QB,553386033,Josh Allen,7,0,8800,17,1,8.10,29,17,58.62,0,37,88.50,1,1,182,6.28,254.00
Broncos,DEN,3,,QB,553387936,Bo Nix,1,0,10195,10,1,8.60,34,20,58.82,0,30,69.70,3,0,152,4.47,177.40
Browns,CLE,4,,QB,553388636,Dorian Thompson-Robinson,2,0,2616,14,1,1.20,39,25,64.10,1,30,85.40,9,1,300,7.69,230.80
Buccaneers,TB,5,,QB,553387689,Baker Mayfield,7,0,8982,6,1,1.90,37,24,64.86,0,26,99.40,5,2,225,6.08,283.00
Cardinals,ARI,6,,QB,553387895,Kyler Murray,6,0,9583,1,1,0.90,26,16,61.54,0,25,82.30,3,0,181,6.96,254.60
Chargers,LAC,7,,QB,553387119,Justin Herbert,5,0,346,10,1,3.60,39,27,69.23,0,27,93.40,3,1,235,6.03,230.00
Chiefs,KC,8,,HB,553388027,Isiah Pacheco,3,0,1875,10,1,3.30,0,1,0.00,0,0,0.00,0,0,0,0.00,0.00
Chiefs,KC,8,,QB,553387644,Patrick Mahomes,8,0,8648,15,1,10.50,47,32,68.09,0,56,102.60,1,2,334,7.11,253.40
Colts,IND,9,,QB,553387388,Daniel Jones,6,0,9537,17,1,1.50,41,22,53.66,2,70,76.60,1,2,334,8.15,266.80
Commanders,WAS,25,,QB,553386563,Jayden Daniels,1,0,10048,5,1,8.40,31,17,54.84,0,38,71.10,2,0,174,5.61,235.00
Commanders,WAS,25,,WR,553387750,Terry McLaurin,6,0,9567,17,1,3.70,0,1,0.00,0,0,0.00,0,0,0,0.00,0.00
Cowboys,DAL,10,,QB,553388133,Dak Prescott,9,0,8179,4,1,2.80,35,28,80.00,1,36,103.40,5,2,249,7.11,269.60
Dolphins,MIA,11,,QB,553388565,Tua Tagovailoa,5,0,600,1,1,17.00,19,12,63.16,2,63,79.10,2,1,212,11.16,171.80
Eagles,PHI,12,,QB,553387229,Jalen Hurts,5,0,704,1,1,2.70,30,22,73.33,0,26,109.30,3,2,172,5.73,179.80
Giants,NYG,15,,QB,553386569,Jaxson Dart,0,0,10533,6,1,-4.20,29,24,82.76,0,22,98.80,11,0,224,7.72,269.80
Jaguars,JAX,16,,WR,553386314,Dyami Brown,4,0,1349,5,1,20.40,0,2,0.00,0,0,0.00,0,0,0,0.00,0.00
Jaguars,JAX,16,,QB,553387544,Trevor Lawrence,4,0,1372,16,1,5.80,26,18,69.23,1,56,133.40,6,3,320,12.31,224.00
Jets,NYJ,17,,QB,553386800,Justin Fields,4,0,1366,7,1,16.00,35,15,42.86,3,76,50.20,5,2,245,7.00,200.20
Lions,DET,18,,QB,553386931,Jared Goff,9,0,8021,16,1,0.10,46,35,76.09,0,85,145.70,2,5,486,10.57,302.00
Panthers,CAR,20,,QB,553389004,Bryce Young,2,0,2638,9,1,0.00,40,25,62.50,1,22,73.60,3,1,207,5.18,241.00
Panthers,CAR,20,,TE,553388682,Tommy Tremble,4,0,1376,82,1,2.40,1,0,0.00,0,0,39.50,0,0,0,0.00,0.00
Patriots,NE,21,,QB,553387686,Drake Maye,1,0,10165,10,1,0.20,44,31,70.45,1,30,77.80,2,0,280,6.36,319.40
Raiders,LV,22,,QB,553388437,Geno Smith,12,0,6078,7,1,4.80,25,18,72.00,0,35,92.70,2,0,184,7.36,225.40
Rams,LAR,23,,QB,553388491,Matthew Stafford,16,0,6302,9,1,0.30,42,30,71.43,0,28,101.40,2,1,322,7.67,248.60
Ravens,BAL,24,,QB,553387273,Lamar Jackson,7,0,8940,8,1,0.10,27,20,74.07,0,21,105.60,3,1,191,7.07,225.60
Saints,NO,26,,QB,553388215,Anthony Richardson Sr,2,0,2609,5,1,9.90,21,10,47.62,0,28,66.70,1,0,126,6.00,219.80
Seahawks,SEA,27,,QB,553387807,Jalen Milroe,0,0,10664,6,1,11.60,32,21,65.62,1,33,76.50,3,0,252,7.88,218.20
Texans,HOU,31,,QB,553388538,C.J. Stroud,2,0,2417,7,1,7.20,47,33,70.21,2,25,73.50,5,1,266,5.66,277.00
Titans,TEN,29,,QB,553388785,Cam Ward,0,0,10768,1,1,1.40,22,13,59.09,1,25,73.20,6,1,136,6.18,197.80
Vikings,MIN,30,,QB,553387701,J.J. McCarthy,1,0,10167,9,1,9.90,35,24,68.57,1,28,82.00,5,1,212,6.06,237.20
