team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,recTotalCatches,recAvgCatchPct,recTotalDrops,recTotalLongest,recTotalTDs,recTotalYdsAfterCatch,recTotalYds,recAvgYacPerCatch,recAvgYdsPerCatch,recAvgYdsPerGame
49ers,SF,14,,WR,553388059,Ricky Pearsall,1,0,10206,1,1,20.50,6,100.00,0,20,2,24,85,4.00,14.17,51.25
49ers,SF,14,,WR,553386014,Brandon Aiyuk,5,0,71,11,1,16.20,4,100.00,0,67,1,52,102,13.00,25.50,51.25
49ers,SF,14,,WR,553387316,Jauan Jennings,5,0,391,15,1,7.50,3,75.00,1,11,1,3,15,1.00,5.00,43.00
49ers,SF,14,,TE,553387484,George Kittle,8,0,8622,85,1,2.90,3,100.00,0,14,0,12,29,4.00,9.67,48.25
49ers,SF,14,,FB,553387434,Kyle Juszczyk,12,0,6869,44,1,0.50,1,100.00,0,5,0,4,5,4.00,5.00,8.50
Bears,CHI,0,,TE,553387613,Colston Loveland,0,0,10639,84,1,8.10,5,83.33,1,27,0,26,81,5.20,16.20,46.50
Bears,CHI,0,,WR,553386352,Luther Burden III,0,0,10510,10,1,11.20,8,100.00,0,29,0,34,112,4.25,14.00,42.50
Bears,CHI,0,,WR,553387964,Rome Odunze,1,0,10199,15,1,13.20,6,75.00,2,37,1,26,72,4.33,12.00,54.00
Bears,CHI,0,,HB,553388560,D'Andre Swift,5,0,599,4,1,2.00,4,100.00,0,8,0,27,20,6.75,5.00,21.00
Bears,CHI,0,,WR,553387844,DJ Moore,7,0,8995,2,1,3.60,4,100.00,0,18,0,16,36,4.00,9.00,46.50
Bengals,CIN,1,,TE,553386026,Erick All Jr,1,0,9997,83,1,0.90,1,100.00,0,9,0,7,9,7.00,9.00,2.25
Bengals,CIN,1,,WR,553387243,Andrei Iosivas,2,0,2229,80,1,4.00,1,100.00,0,40,0,0,40,0.00,40.00,56.75
Bengals,CIN,1,,HB,553386312,Chase Brown,2,0,1827,30,1,3.50,6,100.00,0,10,0,37,35,6.17,5.83,26.00
Bengals,CIN,1,,WR,553388648,Mitchell Tinsley,2,0,10976,82,1,11.10,3,75.00,1,34,1,8,51,2.67,17.00,16.25
Bengals,CIN,1,,WR,553386439,Ja'Marr Chase,4,0,1370,1,1,7.40,8,88.89,1,14,0,20,74,2.50,9.25,89.50
Bengals,CIN,1,,WR,553387141,Tee Higgins,5,0,351,5,1,2.30,4,80.00,1,7,0,7,23,1.75,5.75,26.75
Bengals,CIN,1,,TE,553386774,Noah Fant,6,0,9452,86,1,0.60,1,100.00,0,6,0,6,6,6.00,6.00,4.00
Bengals,CIN,1,,TE,553386900,Mike Gesicki,7,0,8900,88,1,1.10,2,100.00,0,7,0,4,11,2.00,5.50,58.50
Bills,BUF,2,,TE,553387082,Jackson Hawes,0,0,10581,85,1,0.50,2,100.00,0,4,0,5,5,2.50,2.50,1.75
Bills,BUF,2,,WR,553386482,Keon Coleman,1,0,10038,0,1,0.90,1,100.00,0,9,0,2,9,2.00,9.00,41.75
Bills,BUF,2,,TE,553387469,Dalton Kincaid,2,0,2277,86,1,2.40,4,100.00,0,8,0,7,24,1.75,6.00,38.75
Bills,BUF,2,,HB,553386505,James Cook III,3,0,1304,4,1,1.60,4,100.00,0,8,0,30,16,7.50,4.00,18.25
Bills,BUF,2,,WR,553388365,Khalil Shakir,3,0,1942,10,1,15.70,11,91.67,1,24,1,39,97,3.55,8.82,54.75
Bills,BUF,2,,WR,553387845,Elijah Moore,4,0,1162,18,1,1.10,1,100.00,0,11,0,2,11,2.00,11.00,7.75
Bills,BUF,2,,WR,553388030,Joshua Palmer,4,0,1248,5,1,8.90,11,84.62,2,13,0,34,89,3.09,8.09,67.50
Broncos,DEN,3,,WR,553386343,Pat Bryant,0,0,10507,13,1,3.00,5,83.33,1,9,0,8,30,1.60,6.00,27.00
Broncos,DEN,3,,HB,553387072,RJ Harvey,0,0,10579,12,1,1.60,2,100.00,0,9,0,19,16,9.50,8.00,34.00
Broncos,DEN,3,,WR,553387811,Marvin Mims Jr,2,0,2312,19,1,9.60,4,80.00,1,18,1,0,36,0.00,9.00,38.50
Broncos,DEN,3,,HB,553386102,Tyler Badie,3,0,1152,28,1,0.70,1,100.00,0,7,0,12,7,12.00,7.00,7.00
Broncos,DEN,3,,TE,553388679,Adam Trautman,5,0,622,82,1,0.60,1,100.00,0,6,0,1,6,1.00,6.00,4.00
Broncos,DEN,3,,HB,553386652,J.K. Dobbins,5,0,257,27,1,1.30,4,100.00,0,17,0,30,13,7.50,3.25,5.25
Broncos,DEN,3,,WR,553388553,Courtland Sutton,7,0,9072,14,1,6.70,5,83.33,1,23,0,11,67,2.20,13.40,47.00
Broncos,DEN,3,,TE,553386741,Evan Engram,8,0,8545,1,1,3.60,4,80.00,1,18,0,2,36,0.50,9.00,25.50
Browns,CLE,4,,HB,553388312,Dylan Sampson,0,0,10716,22,1,-0.30,2,100.00,0,0,0,9,-3,4.50,-1.50,9.25
Browns,CLE,4,,WR,553389142,Gage Larvadain,0,0,11012,84,1,1.90,2,66.67,1,11,0,11,19,5.50,9.50,39.75
Browns,CLE,4,,WR,553389133,Isaiah Bond,0,0,10494,16,1,10.10,7,100.00,0,33,0,9,101,1.29,14.43,59.25
Browns,CLE,4,,WR,553388645,Cedric Tillman,2,0,2426,19,1,1.20,1,100.00,0,12,0,2,12,2.00,12.00,10.50
Browns,CLE,4,,WR,553387319,Jerry Jeudy,5,0,392,3,1,7.80,3,75.00,1,37,0,4,78,1.33,26.00,60.25
Browns,CLE,4,,TE,553387939,David Njoku,8,0,8674,85,1,1.10,1,100.00,0,11,0,1,11,1.00,11.00,32.75
Buccaneers,TB,5,,WR,553386714,Emeka Egbuka,0,0,10542,2,1,14.00,8,88.89,1,24,1,19,80,2.38,10.00,84.25
Buccaneers,TB,5,,WR,553387359,Tez Johnson,0,0,10613,15,1,2.40,1,100.00,0,24,0,14,24,14.00,24.00,6.00
Buccaneers,TB,5,,HB,553387244,Bucky Irving,1,0,10113,7,1,2.50,5,83.33,1,16,0,32,25,6.40,5.00,28.50
Buccaneers,TB,5,,WR,553387758,Jalen McMillan,1,0,10176,11,1,6.70,1,100.00,0,7,1,0,7,0.00,7.00,13.00
Buccaneers,TB,5,,TE,553388017,Cade Otton,3,0,1872,88,1,3.60,5,100.00,0,12,0,20,36,4.00,7.20,45.75
Buccaneers,TB,5,,TE,553387467,Ko Kieft,3,0,2566,41,1,2.90,3,100.00,0,17,0,7,29,2.33,9.67,10.00
Buccaneers,TB,5,,WR,553386928,Chris Godwin Jr,8,0,8567,14,1,12.10,7,100.00,0,31,0,31,121,4.43,17.29,49.75
