team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,puntsTotalBlocked,puntsTotalIn20,puntTotalLongest,puntTotalTBs,puntAvgNetYdsPerAtt,puntTotalNetYds,puntTotalAtt,puntAvgYdsPerAtt,puntTotalYds
49ers,SF,14,,P,553387862,Thomas Morstead,16,0,2184,7,1,0,1,53,1,51.00,102,2,51.00,102
Bears,CHI,0,,P,553388585,Tory Taylor,1,0,10262,19,1,0,3,47,0,37.57,263,7,39.86,279
Bengals,CIN,1,,P,553388192,Ryan Rehkow,1,0,10223,8,1,0,3,55,2,36.17,217,6,42.83,257
Bills,BUF,2,,P,553388948,Mitch Wishnowsky,6,0,9689,19,1,0,3,51,0,36.44,328,9,40.56,365
Broncos,DEN,3,,P,553386533,Jeremy Crawshaw,0,0,10530,16,1,0,1,47,0,42.00,294,7,44.71,313
Browns,CLE,4,,P,553386223,Corey Bojorquez,7,0,9325,13,1,1,3,49,0,37.20,372,10,39.80,398
Buccaneers,TB,5,,P,553386651,Riley Dixon,9,0,7978,9,1,0,0,48,0,41.33,124,3,45.00,135
Cardinals,ARI,6,,P,553386913,Blake Gillikin,5,0,878,12,1,0,1,58,1,42.00,168,4,47.50,190
Chargers,LAC,7,,P,553388348,JK Scott,7,0,9052,16,1,0,3,48,1,40.17,241,6,43.83,263
Chiefs,KC,8,,P,553386072,Matt Araiza,3,0,1140,14,1,0,2,64,1,42.17,253,6,46.33,278
Colts,IND,9,,P,553388317,Rigoberto Sanchez,8,0,9282,8,1,0,1,40,0,37.00,74,2,40.00,80
Commanders,WAS,25,,P,553388825,Tress Way,12,0,7370,10,1,0,2,45,0,41.00,205,5,43.00,215
Cowboys,DAL,10,,P,553386065,Bryan Anger,13,0,5023,5,1,0,2,47,0,38.20,191,5,39.80,199
Dolphins,MIA,11,,P,553386105,Jake Bailey,6,0,9373,16,1,0,1,49,0,43.50,87,2,48.50,97
Eagles,PHI,12,,P,553388523,Ryan Stonehouse,3,0,5015,19,1,0,1,54,1,46.67,140,3,53.67,161
Falcons,ATL,13,,P,553388105,Bradley Pinion,10,0,7281,13,1,0,1,46,0,35.20,176,5,37.60,188
Giants,NYG,15,,P,553386910,Jamie Gillan,6,0,125,12,1,0,0,48,1,36.40,182,5,44.60,223
Jaguars,JAX,16,,P,553386506,Logan Cooke,7,0,9331,9,1,0,0,56,1,48.50,97,2,48.50,97
Jets,NYJ,17,,P,553386330,Jack Browning,1,0,0,17,1,0,1,59,1,37.00,111,3,43.67,131
Lions,DET,18,,P,553386841,Jack Fox,7,0,9460,3,1,0,1,45,0,35.22,317,9,37.78,340
Packers,GB,19,,P,553388845,Daniel Whelan,2,0,5263,19,1,0,0,37,0,31.83,191,6,34.67,208
Panthers,CAR,20,,P,553387662,Sam Martin,12,0,6649,6,1,0,2,43,0,39.00,234,6,40.50,243
Patriots,NE,21,,P,553386124,Bryce Baringer,2,0,2645,17,1,1,1,46,0,28.60,143,5,28.60,143
Raiders,LV,22,,P,553386479,A.J. Cole,6,0,220,6,1,0,2,51,0,42.40,212,5,43.00,215
Rams,LAR,23,,P,553386755,Ethan Evans,2,0,3146,42,1,1,1,35,0,20.00,60,3,20.00,60
Ravens,BAL,24,,P,553388524,Jordan Stout,3,0,1957,11,1,0,1,49,0,39.00,195,5,42.20,211
Saints,NO,26,,P,553386361,James Burnip,0,0,10512,46,1,0,1,45,1,33.00,297,9,38.78,349
Seahawks,SEA,27,,P,553386638,Michael Dickson,7,0,8870,4,1,0,2,49,0,34.75,139,4,35.00,140
Steelers,PIT,28,,P,553388759,Corliss Waitman,5,0,2658,3,1,0,3,47,1,37.83,227,6,42.33,254
Texans,HOU,31,,P,553388672,Tommy Townsend,5,0,620,6,1,0,2,53,1,34.14,239,7,38.57,270
Titans,TEN,29,,P,553387102,Johnny Hekker,13,0,5860,3,1,1,2,50,1,31.57,221,7,35.14,246
Vikings,MIN,30,,P,553388991,Ryan Wright,3,0,2671,17,1,0,2,46,0,38.62,309,8,40.62,325
