team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,rushTotalAtt,rushTotalBrokenTackles,rushTotalFum,rushTotalLongest,rushTotalTDs,rushTotal20PlusYds,rushTotalYdsAfterContact,rushTotalYds,rushAvgYdsAfterContact,rushAvgYdsPerAtt,rushAvgYdsPerGame
49ers,SF,14,,HB,553386986,Isaac Guerendo,1,0,10091,31,1,1.00,9,0,0,7,0,0,0,10,0.00,1.11,8.00
49ers,SF,14,,QB,553388147,Brock Purdy,3,0,1899,13,1,0.80,2,0,0,7,0,0,0,8,0.00,4.00,22.00
49ers,SF,14,,HB,553387697,Christian McCaffrey,8,0,8655,23,1,12.60,13,3,0,9,1,0,5,66,5.00,5.08,70.50
49ers,SF,14,,FB,553387434,Kyle Juszczyk,12,0,6869,44,1,0.50,5,1,0,8,0,0,1,24,1.00,4.80,17.00
Bears,CHI,0,,TE,553387613,Colston Loveland,0,0,10639,84,1,8.10,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Bears,CHI,0,,HB,553387663,Damien Martinez,0,0,10646,24,1,-0.20,2,1,0,0,0,0,4,-2,4.00,-1.00,11.67
Bears,CHI,0,,QB,553388871,Caleb Williams,1,0,10296,18,1,-3.40,1,0,2,6,0,0,0,6,0.00,6.00,41.75
Bears,CHI,0,,HB,553388560,D'Andre Swift,5,0,599,4,1,2.00,17,2,0,14,0,0,21,61,21.00,3.59,40.75
Bears,CHI,0,,WR,553386695,Devin Duvernay,5,0,265,12,1,0.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Bears,CHI,0,,WR,553387844,DJ Moore,7,0,8995,2,1,3.60,0,3,0,0,0,0,0,0,0.00,0.00,0.00
Bengals,CIN,1,,TE,553386026,Erick All Jr,1,0,9997,83,1,0.90,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Bengals,CIN,1,,WR,553387243,Andrei Iosivas,2,0,2229,80,1,4.00,0,1,0,0,0,0,0,0,0.00,0.00,0.75
Bengals,CIN,1,,HB,553386312,Chase Brown,2,0,1827,30,1,3.50,13,6,0,26,1,1,23,88,23.00,6.77,85.00
Bengals,CIN,1,,QB,553386364,Joe Burrow,5,0,198,9,1,4.40,5,0,0,25,0,1,4,44,4.00,8.80,21.25
Bengals,CIN,1,,HB,553388076,Samaje Perine,9,0,8685,34,1,0.70,1,2,0,7,0,0,6,7,6.00,7.00,5.75
Bills,BUF,2,,HB,553386505,James Cook III,3,0,1304,4,1,1.60,19,3,0,14,1,0,19,71,19.00,3.74,59.00
Bills,BUF,2,,QB,553386033,Josh Allen,7,0,8800,17,1,1.50,3,0,1,21,0,1,2,35,2.00,11.67,37.25
Broncos,DEN,3,,HB,553387072,RJ Harvey,0,0,10579,12,1,1.60,17,4,0,15,0,0,18,55,18.00,3.24,69.50
Broncos,DEN,3,,QB,553387936,Bo Nix,1,0,10195,10,1,11.20,9,0,0,15,1,0,12,52,12.00,5.78,42.00
Broncos,DEN,3,,HB,553386652,J.K. Dobbins,5,0,257,27,1,1.30,4,1,0,9,0,0,9,9,9.00,2.25,3.75
Browns,CLE,4,,HB,553388312,Dylan Sampson,0,0,10716,22,1,-0.30,14,3,0,12,1,0,27,51,27.00,3.64,56.00
Browns,CLE,4,,WR,553389142,Gage Larvadain,0,0,11012,84,1,1.90,0,1,0,0,0,0,0,0,0.00,0.00,-0.75
Browns,CLE,4,,WR,553389133,Isaiah Bond,0,0,10494,16,1,10.10,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Browns,CLE,4,,HB,553387429,Quinshon Judkins,0,0,10618,10,1,-0.10,1,0,0,0,0,0,0,-1,0.00,-1.00,4.75
Browns,CLE,4,,QB,553388636,Dorian Thompson-Robinson,2,0,2616,14,1,6.80,10,0,0,25,0,1,1,68,1.00,6.80,57.00
Buccaneers,TB,5,,HB,553387244,Bucky Irving,1,0,10113,7,1,2.50,11,3,0,22,0,1,19,70,19.00,6.36,101.75
