team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,recTotalCatches,recAvgCatchPct,recTotalDrops,recTotalLongest,recTotalTDs,recTotalYdsAfterCatch,recTotalYds,recAvgYacPerCatch,recAvgYdsPerCatch,recAvgYdsPerGame
Bengals,CIN,1,,WR,553386365,Jermaine Burton,1,0,10026,81,1,0.70,1,100.00,0,7,0,2,7,2.00,7.00,2.33
Bengals,CIN,1,,WR,553387243,Andrei Iosivas,2,0,2229,80,1,9.00,6,100.00,0,52,0,43,90,7.17,15.00,53.50
Bengals,CIN,1,,HB,553386312,Chase Brown,2,0,1827,30,1,4.00,6,100.00,0,17,0,52,40,8.67,6.67,34.00
Bengals,CIN,1,,WR,553388648,Mitchell Tinsley,2,0,10976,82,1,0.90,2,100.00,0,8,0,0,9,0.00,4.50,15.50
Bengals,CIN,1,,WR,553386439,Ja'Marr Chase,4,0,1370,1,1,4.10,5,83.33,1,13,0,27,41,5.40,8.20,93.00
Bengals,CIN,1,,WR,553387141,Tee Higgins,5,0,351,5,1,8.40,4,80.00,1,14,1,7,24,1.75,6.00,47.00
Bengals,CIN,1,,TE,553386774,Noah Fant,6,0,9452,86,1,0.80,1,100.00,0,8,0,4,8,4.00,8.00,5.83
Bengals,CIN,1,,TE,553386900,Mike Gesicki,7,0,8900,88,1,8.30,5,83.33,1,9,1,4,23,0.80,4.60,60.50
Bills,BUF,2,,WR,553386482,Keon Coleman,1,0,10038,0,1,15.80,3,75.00,1,73,1,34,98,11.33,32.67,57.33
Bills,BUF,2,,TE,553387469,Dalton Kincaid,2,0,2277,86,1,4.90,7,100.00,0,16,0,21,49,3.00,7.00,37.00
Bills,BUF,2,,HB,553386505,James Cook III,3,0,1304,4,1,10.20,6,75.00,2,16,1,16,42,2.67,7.00,22.33
Bills,BUF,2,,WR,553388365,Khalil Shakir,3,0,1942,10,1,3.20,3,100.00,0,19,0,2,32,0.67,10.67,49.33
Bills,BUF,2,,WR,553388030,Joshua Palmer,4,0,1248,5,1,9.10,7,100.00,0,27,0,11,91,1.57,13.00,62.67
Broncos,DEN,3,,WR,553386343,Pat Bryant,0,0,10507,13,1,1.80,2,50.00,2,10,0,9,18,4.50,9.00,30.50
Broncos,DEN,3,,HB,553387072,RJ Harvey,0,0,10579,12,1,2.20,3,100.00,0,13,0,20,22,6.67,7.33,29.33
Broncos,DEN,3,,WR,553387811,Marvin Mims Jr,2,0,2312,19,1,1.60,2,50.00,2,8,0,1,16,0.50,8.00,35.33
Broncos,DEN,3,,TE,553388679,Adam Trautman,5,0,622,82,1,6.50,2,66.67,1,3,1,5,5,2.50,2.50,3.50
Broncos,DEN,3,,WR,553388553,Courtland Sutton,7,0,9072,14,1,11.70,9,100.00,0,34,0,41,117,4.56,13.00,53.33
Broncos,DEN,3,,TE,553386741,Evan Engram,8,0,8545,1,1,12.00,5,100.00,0,18,1,26,60,5.20,12.00,30.33
Browns,CLE,4,,TE,553389042,CJ Dippre,0,0,10536,82,1,0.70,1,100.00,0,7,0,2,7,2.00,7.00,4.83
Browns,CLE,4,,HB,553388312,Dylan Sampson,0,0,10716,22,1,1.60,4,100.00,0,10,0,36,16,9.00,4.00,20.83
Browns,CLE,4,,WR,553389142,Gage Larvadain,0,0,11012,84,1,2.10,3,100.00,0,12,0,4,21,1.33,7.00,30.00
Browns,CLE,4,,WR,553389133,Isaiah Bond,0,0,10494,16,1,1.70,2,66.67,1,11,0,3,17,1.50,8.50,58.50
Browns,CLE,4,,WR,553387319,Jerry Jeudy,5,0,392,3,1,9.20,4,100.00,0,46,0,16,92,4.00,23.00,70.17
Browns,CLE,4,,TE,553387939,David Njoku,8,0,8674,85,1,9.20,6,100.00,0,10,1,19,32,3.17,5.33,31.33
Chargers,LAC,7,,HB,553387024,Omarion Hampton,0,0,10572,8,1,3.70,5,100.00,0,16,0,54,37,10.80,7.40,32.33
Chargers,LAC,7,,TE,553386871,Oronde Gadsden,0,0,10558,86,1,7.90,4,100.00,0,8,1,6,19,1.50,4.75,32.83
Chargers,LAC,7,,WR,553387060,Tre' Harris,0,0,10578,9,1,8.40,4,100.00,0,12,1,5,24,1.25,6.00,39.67
Chargers,LAC,7,,WR,553387710,Ladd McConkey,1,0,10169,15,1,8.40,9,90.00,1,19,0,24,84,2.67,9.33,55.33
Chargers,LAC,7,,TE,553386649,Will Dissly,7,0,8871,89,1,0.30,1,100.00,0,3,0,4,3,4.00,3.00,3.17
Chargers,LAC,7,,WR,553386035,Keenan Allen,12,0,5654,13,1,5.80,5,100.00,0,27,0,8,58,1.60,11.60,41.50
Cowboys,DAL,10,,HB,553386217,Jaydon Blue,0,0,10493,23,1,-0.10,2,100.00,0,4,0,9,-1,4.50,-0.50,9.50
Cowboys,DAL,10,,TE,553388340,Luke Schoonmaker,2,0,2384,86,1,0.00,0,0.00,1,0,0,0,0,0.00,0.00,4.00
Cowboys,DAL,10,,WR,553388096,George Pickens,3,0,1888,3,1,0.90,2,50.00,2,5,0,5,9,2.50,4.50,67.67
Cowboys,DAL,10,,TE,553386794,Jake Ferguson,3,0,1577,87,1,4.50,5,100.00,0,21,0,13,45,2.60,9.00,49.83
Cowboys,DAL,10,,WR,553388654,Jalen Tolbert,3,0,1987,1,1,1.40,2,66.67,1,7,0,4,14,2.00,7.00,32.17
Cowboys,DAL,10,,HB,553388886,Javonte Williams,4,0,1118,33,1,2.50,4,100.00,0,12,0,28,25,7.00,6.25,20.50
Cowboys,DAL,10,,WR,553387519,CeeDee Lamb,5,0,418,88,1,3.50,5,83.33,1,11,0,13,35,2.60,7.00,63.67
Dolphins,MIA,11,,WR,553389101,Xavier Restrepo,0,0,10704,87,1,1.10,1,33.33,2,11,0,2,11,2.00,11.00,20.17
Dolphins,MIA,11,,WR,553388803,Malik Washington,1,0,10285,6,1,0.80,1,100.00,0,8,0,2,8,2.00,8.00,9.00
Dolphins,MIA,11,,HB,553385991,De'Von Achane,2,0,676,28,1,2.10,5,100.00,0,11,0,25,21,5.00,4.20,26.17
Dolphins,MIA,11,,TE,553388861,Josh Whyle,2,0,2475,80,1,0.00,0,0.00,1,0,0,0,0,0.00,0.00,0.83
Dolphins,MIA,11,,WR,553386663,Romeo Doubs,3,0,1471,7,1,1.00,1,100.00,0,10,0,1,10,1.00,10.00,29.67
Dolphins,MIA,11,,WR,553388756,Jaylen Waddle,4,0,1374,17,1,9.20,3,75.00,1,54,0,2,92,0.67,30.67,58.83
Dolphins,MIA,11,,TE,553389122,Darren Waller,8,0,7365,83,1,1.40,1,100.00,0,14,0,2,14,2.00,14.00,20.33
Eagles,PHI,12,,WR,553388923,Johnny Wilson,1,0,10301,89,1,21.10,5,100.00,0,54,2,12,91,2.40,18.20,29.60
Eagles,PHI,12,,FB,553388737,Ben VanSumeren,2,0,10470,43,1,0.40,1,100.00,0,4,0,5,4,5.00,4.00,1.50
Eagles,PHI,12,,HB,553386198,Tank Bigsby,2,0,2539,37,1,0.40,1,100.00,0,4,0,1,4,1.00,4.00,3.50
Eagles,PHI,12,,WR,553388435,DeVonta Smith,4,0,1369,6,1,8.70,6,100.00,0,26,0,26,87,4.33,14.50,51.17
Eagles,PHI,12,,WR,553386305,A.J. Brown,6,0,9397,11,1,6.70,4,100.00,0,24,0,21,67,5.25,16.75,55.17
Eagles,PHI,12,,TE,553386930,Dallas Goedert,7,0,8901,88,1,2.20,4,66.67,2,13,0,14,22,3.50,5.50,22.50
Eagles,PHI,12,,HB,553386125,Saquon Barkley,7,0,8813,26,1,2.00,4,100.00,0,10,0,33,20,8.25,5.00,32.67
Eagles,PHI,12,,TE,553387574,Marcedes Lewis,19,0,1898,84,1,0.90,1,100.00,0,9,0,1,9,1.00,9.00,9.00
Falcons,ATL,13,,WR,553388117,Ja'Lynn Polk,1,0,10210,83,1,2.70,1,100.00,0,27,0,1,27,1.00,27.00,9.25
Falcons,ATL,13,,HB,553388243,Bijan Robinson,2,0,2613,7,1,2.00,6,100.00,0,11,0,16,20,2.67,3.33,29.00
Falcons,ATL,13,,WR,553387601,Drake London,3,0,1813,5,1,6.90,6,100.00,0,18,0,27,69,4.50,11.50,58.00
Falcons,ATL,13,,TE,553388113,Kyle Pitts Sr,4,0,1375,8,1,2.50,3,100.00,0,10,0,11,25,3.67,8.33,30.80
Falcons,ATL,13,,WR,553387838,Darnell Mooney,5,0,469,1,1,5.70,4,100.00,0,34,0,35,57,8.75,14.25,47.60
Falcons,ATL,13,,WR,553387704,Ray-Ray McCloud III,8,0,8983,34,1,8.00,3,75.00,1,9,1,12,20,4.00,6.67,26.20
Giants,NYG,15,,HB,553388407,Cam Skattebo,0,0,10732,44,1,4.70,6,100.00,0,13,0,35,47,5.83,7.83,30.83
Giants,NYG,15,,WR,553387906,Malik Nabers,1,0,10192,1,1,10.30,4,100.00,0,40,0,55,103,13.75,25.75,104.17
Giants,NYG,15,,TE,553387360,Theo Johnson,1,0,10130,84,1,4.10,3,100.00,0,20,0,8,41,2.67,13.67,30.33
Giants,NYG,15,,WR,553386828,Bryce Ford-Wheaton,2,0,10898,88,1,2.70,2,50.00,2,23,0,3,27,1.50,13.50,57.67
Giants,NYG,15,,WR,553388262,Wan'Dale Robinson,3,0,1924,17,1,1.60,2,100.00,0,11,0,3,16,1.50,8.00,34.33
Jaguars,JAX,16,,WR,553388606,Brian Thomas Jr,1,0,10263,7,1,7.00,4,100.00,0,26,0,4,70,1.00,17.50,53.17
Jaguars,JAX,16,,WR,553386314,Dyami Brown,4,0,1349,5,1,0.80,1,100.00,0,8,0,2,8,2.00,8.00,40.50
Jaguars,JAX,16,,HB,553386749,Travis Etienne Jr,4,0,1365,1,1,1.20,4,100.00,0,6,0,19,12,4.75,3.00,13.33
Jaguars,JAX,16,,TE,553387881,Johnny Mundt,8,0,9248,86,1,1.40,2,100.00,0,8,0,9,14,4.50,7.00,4.00
Jaguars,JAX,16,,TE,553387117,Hunter Henry,9,0,8046,85,1,0.40,1,33.33,2,4,0,2,4,2.00,4.00,46.67
Jets,NYJ,17,,WR,553388427,Arian Smith,0,0,10734,82,1,11.40,5,100.00,0,24,1,35,54,7.00,10.80,47.83
Jets,NYJ,17,,TE,553388583,Mason Taylor,0,0,10750,85,1,1.60,3,75.00,1,6,0,8,16,2.67,5.33,20.83
Jets,NYJ,17,,HB,553387002,Breece Hall,3,0,1747,20,1,0.40,2,100.00,0,5,0,8,4,4.00,2.00,26.83
Jets,NYJ,17,,WR,553388921,Garrett Wilson,3,0,2040,5,1,4.60,6,100.00,0,11,0,8,46,1.33,7.67,55.50
Jets,NYJ,17,,HB,553387120,Khalil Herbert,4,0,1245,36,1,0.40,1,100.00,0,4,0,0,4,0.00,4.00,3.00
Jets,NYJ,17,,FB,553386165,Andrew Beck,6,0,89,47,1,0.30,1,100.00,0,3,0,1,3,1.00,3.00,1.67
Jets,NYJ,17,,WR,553387035,Mecole Hardman,6,0,9489,88,1,6.80,1,100.00,0,8,1,0,8,0.00,8.00,24.33
Jets,NYJ,17,,WR,553388202,Josh Reynolds,8,0,8700,83,1,1.50,2,100.00,0,8,0,2,15,1.00,7.50,10.00
Packers,GB,19,,WR,553386932,Matthew Golden,0,0,10562,0,1,18.70,4,100.00,0,40,2,21,67,5.25,16.75,52.60
Packers,GB,19,,WR,553388187,Jayden Reed,2,0,2365,11,1,1.70,3,100.00,0,9,0,4,17,1.33,5.67,41.40
Packers,GB,19,,TE,553387501,Tucker Kraft,2,0,2279,85,1,5.20,2,100.00,0,41,0,2,52,1.00,26.00,37.20
Packers,GB,19,,WR,553388811,Christian Watson,3,0,2013,9,1,2.80,1,100.00,0,28,0,14,28,14.00,28.00,5.60
Packers,GB,19,,HB,553387286,Josh Jacobs,6,0,9520,8,1,8.90,3,100.00,0,12,1,27,29,9.00,9.67,30.60
Packers,GB,19,,WR,553387153,Tyreek Hill,9,0,8052,84,1,2.00,2,100.00,0,12,0,2,20,1.00,10.00,51.00
Panthers,CAR,20,,WR,553387188,Jimmy Horn Jr,0,0,10592,15,1,6.50,8,100.00,0,40,0,13,65,1.62,8.12,41.50
