team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,rushTotalAtt,rushTotalBrokenTackles,rushTotalFum,rushTotalLongest,rushTotalTDs,rushTotal20PlusYds,rushTotalYdsAfterContact,rushTotalYds,rushAvgYdsAfterContact,rushAvgYdsPerAtt,rushAvgYdsPerGame
Bengals,CIN,1,,TE,553386026,Erick All Jr,1,0,9997,83,1,0.30,1,0,0,3,0,0,1,3,1.00,3.00,0.50
Bengals,CIN,1,,HB,553386312,Chase Brown,2,0,1827,30,1,4.00,17,6,0,24,0,1,18,81,18.00,4.76,73.67
Bengals,CIN,1,,QB,553386364,Joe Burrow,5,0,198,9,1,0.60,1,0,0,6,0,0,1,6,1.00,6.00,17.33
Bengals,CIN,1,,HB,553388076,Samaje Perine,9,0,8685,34,1,2.10,3,1,0,11,0,0,7,21,7.00,7.00,8.17
Bills,BUF,2,,WR,553386482,Keon Coleman,1,0,10038,0,1,15.80,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Bills,BUF,2,,HB,553386505,James Cook III,3,0,1304,4,1,10.20,11,3,0,11,0,0,9,30,9.00,2.73,57.67
Bills,BUF,2,,WR,553388030,Joshua Palmer,4,0,1248,5,1,9.10,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Bills,BUF,2,,QB,553386033,Josh Allen,7,0,8800,17,1,0.40,3,3,0,2,0,0,4,4,4.00,1.33,32.33
Broncos,DEN,3,,HB,553387072,RJ Harvey,0,0,10579,12,1,2.20,20,3,0,14,1,0,35,88,35.00,4.40,73.33
Broncos,DEN,3,,QB,553387936,Bo Nix,1,0,10195,10,1,5.10,8,0,0,28,0,1,5,51,5.00,6.38,44.17
Broncos,DEN,3,,HB,553386652,J.K. Dobbins,5,0,257,27,1,0.30,2,2,0,5,0,0,4,3,4.00,1.50,2.83
Browns,CLE,4,,HB,553388312,Dylan Sampson,0,0,10716,22,1,1.60,21,4,1,46,2,1,22,128,22.00,6.10,70.00
Browns,CLE,4,,WR,553389142,Gage Larvadain,0,0,11012,84,1,2.10,0,1,0,0,0,0,0,0,0.00,0.00,-0.50
Browns,CLE,4,,WR,553389133,Isaiah Bond,0,0,10494,16,1,1.70,1,0,0,0,0,0,0,-3,0.00,-3.00,-0.50
