team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,fGTotalAtt,fGTotal50PlusAtt,fGTotal50PlusMade,fGTotalLongest,fGTotalMade,fGAvgCompPct,kickoffTotalAtt,kickoffTotalTBs,xPTotalAtt,xPTotalMade,xPAvgCompPct
Bengals,CIN,1,,K,553387767,Evan McPherson,4,0,1601,2,1,6.00,2,0,0,40,2,100.00,5,0,2,2,100.00
Bills,BUF,2,,K,553386148,Tyler Bass,5,0,85,2,1,3.00,1,0,0,33,1,100.00,0,0,2,2,100.00
Bills,BUF,2,,P,553388948,Mitch Wishnowsky,6,0,9689,19,1,0.00,0,0,0,0,0,0.00,4,0,0,0,0.00
Broncos,DEN,3,,K,553387628,Wil Lutz,9,0,8374,3,1,6.00,2,0,0,46,2,100.00,7,0,4,4,100.00
Browns,CLE,4,,K,553387827,Andre Szmyt,0,0,0,25,1,3.00,1,0,0,46,1,100.00,0,0,3,3,100.00
Browns,CLE,4,,P,553386223,Corey Bojorquez,7,0,9325,13,1,0.00,0,0,0,0,0,0.00,5,0,0,0,0.00
Chargers,LAC,7,,K,553386635,Cameron Dicker,3,0,1359,11,1,9.00,3,0,0,43,3,100.00,6,1,2,2,100.00
Cowboys,DAL,10,,K,553386084,Brandon Aubrey,3,0,10362,17,1,6.00,2,0,0,48,2,100.00,3,0,0,0,0.00
Dolphins,MIA,11,,K,553388050,Riley Patterson,4,0,2110,47,1,9.00,3,0,0,49,3,100.00,0,0,1,1,100.00
Dolphins,MIA,11,,P,553386105,Jake Bailey,6,0,9373,16,1,0.00,0,0,0,0,0,0.00,5,0,0,0,0.00
Eagles,PHI,12,,K,553386730,Jake Elliott,8,0,8542,4,1,14.00,4,1,1,51,4,100.00,8,0,3,3,100.00
Falcons,ATL,13,,K,553388319,Jason Sanders,7,0,9349,6,1,6.00,3,0,0,37,2,66.67,0,0,0,0,0.00
Falcons,ATL,13,,P,553388105,Bradley Pinion,10,0,7281,13,1,0.00,0,0,0,0,0,0.00,5,0,0,0,0.00
Giants,NYG,15,,K,553386880,Graham Gano,16,0,1203,9,1,3.00,1,0,0,47,1,100.00,3,0,1,1,100.00
Jaguars,JAX,16,,K,553387587,Cam Little,1,0,10159,39,1,3.00,1,0,0,38,1,100.00,0,0,2,2,100.00
Jaguars,JAX,16,,P,553386506,Logan Cooke,7,0,9331,9,1,0.00,0,0,0,0,0,0.00,4,0,0,0,0.00
Jets,NYJ,17,,K,553386819,Nick Folk,17,0,1128,6,1,3.00,1,0,0,46,1,100.00,4,0,2,2,100.00
Packers,GB,19,,K,553387755,Brandon McManus,12,0,7240,17,1,0.00,0,0,0,0,0,0.00,5,0,4,4,100.00
Panthers,CAR,20,,K,553386806,Ryan Fitzgerald,0,0,10554,10,1,6.00,2,0,0,37,2,100.00,3,1,0,0,0.00
Patriots,NE,21,,K,553386240,Andres Borregales,0,0,10793,36,1,3.00,1,0,0,33,1,100.00,0,0,4,4,100.00
Patriots,NE,21,,P,553386124,Bryce Baringer,2,0,2645,17,1,0.00,0,0,0,0,0,0.00,6,0,0,0,0.00
Raiders,LV,22,,P,553386479,A.J. Cole,6,0,220,6,1,0.00,0,0,0,0,0,0.00,4,0,0,0,0.00
Raiders,LV,22,,K,553386406,Daniel Carlson,7,0,8838,8,1,8.00,4,2,1,51,2,50.00,0,0,1,1,100.00
Rams,LAR,23,,K,553387445,Joshua Karty,1,0,10138,16,1,9.00,4,1,0,42,3,75.00,0,0,3,3,100.00
Rams,LAR,23,,P,553386755,Ethan Evans,2,0,3146,42,1,0.00,0,0,0,0,0,0.00,6,0,0,0,0.00
Ravens,BAL,24,,K,553387607,Tyler Loop,0,0,10638,33,1,9.00,3,0,0,43,3,100.00,8,0,2,2,100.00
Saints,NO,26,,K,553389002,Cade York,3,0,2063,16,1,6.00,2,0,0,27,2,100.00,0,0,2,2,100.00
Seahawks,SEA,27,,P,553386638,Michael Dickson,7,0,8870,4,1,0.00,0,0,0,0,0,0.00,7,0,0,0,0.00
Seahawks,SEA,27,,K,553387904,Jason Myers,10,0,7773,5,1,15.00,5,0,0,45,5,100.00,0,0,1,1,100.00
Steelers,PIT,28,,K,553386244,Chris Boswell,11,0,6353,9,1,3.00,1,0,0,43,1,100.00,3,0,1,1,100.00
Titans,TEN,29,,K,553388419,Joey Slye,6,0,577,6,1,11.00,4,2,1,55,3,75.00,6,0,2,2,100.00
