team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,rushTotalAtt,rushTotalBrokenTackles,rushTotalFum,rushTotalLongest,rushTotalTDs,rushTotal20PlusYds,rushTotalYdsAfterContact,rushTotalYds,rushAvgYdsAfterContact,rushAvgYdsPerAtt,rushAvgYdsPerGame
49ers,SF,14,,HB,553386986,Isaac Guerendo,1,0,10091,31,1,0.30,1,0,0,3,0,0,1,3,1.00,3.00,7.33
49ers,SF,14,,QB,553388147,Brock Purdy,3,0,1899,13,1,-2.00,2,0,2,13,0,0,2,20,2.00,10.00,26.67
49ers,SF,14,,HB,553387697,Christian McCaffrey,8,0,8655,23,1,3.10,13,4,1,21,0,1,20,81,20.00,6.23,72.00
Bears,CHI,0,,TE,553387613,Colston Loveland,0,0,10639,84,1,2.30,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Bears,CHI,0,,HB,553387663,Damien Martinez,0,0,10646,24,1,0.60,1,2,0,6,0,0,9,6,9.00,6.00,11.67
Bears,CHI,0,,WR,553386352,Luther Burden III,0,0,10510,10,1,1.20,0,0,1,0,0,0,0,0,0.00,0.00,0.00
Bears,CHI,0,,QB,553388871,Caleb Williams,1,0,10296,18,1,6.70,8,1,0,17,0,0,5,67,5.00,8.38,41.75
Bears,CHI,0,,HB,553388560,D'Andre Swift,5,0,599,4,1,1.10,11,5,1,14,0,0,12,56,12.00,5.09,40.75
Bengals,CIN,1,,HB,553386312,Chase Brown,2,0,1827,30,1,3.70,17,1,0,17,1,0,18,55,18.00,3.24,84.00
Bengals,CIN,1,,HB,553388076,Samaje Perine,9,0,8685,34,1,0.60,0,1,0,0,0,0,0,0,0.00,0.00,5.33
Bills,BUF,2,,HB,553386594,Ray Davis,1,0,10051,22,1,-0.10,2,0,0,2,0,0,0,-1,0.00,-0.50,3.33
Bills,BUF,2,,HB,553386505,James Cook III,3,0,1304,4,1,4.40,17,4,0,17,0,0,11,52,11.00,3.06,55.00
Bills,BUF,2,,FB,553386912,Reggie Gilliam,5,0,1432,41,1,1.50,1,0,0,1,0,0,2,1,2.00,1.00,0.67
Bills,BUF,2,,QB,553386033,Josh Allen,7,0,8800,17,1,3.20,4,1,1,32,0,1,9,52,9.00,13.00,38.00
Broncos,DEN,3,,HB,553387072,RJ Harvey,0,0,10579,12,1,8.60,20,4,0,52,1,2,40,133,40.00,6.65,74.33
Broncos,DEN,3,,QB,553387936,Bo Nix,1,0,10195,10,1,7.00,10,0,0,23,0,2,3,70,3.00,7.00,38.67
Broncos,DEN,3,,HB,553386652,J.K. Dobbins,5,0,257,27,1,0.80,1,0,0,6,0,0,3,6,3.00,6.00,2.00
Browns,CLE,4,,HB,553388312,Dylan Sampson,0,0,10716,22,1,19.90,27,5,0,18,1,0,38,139,38.00,5.15,56.00
Browns,CLE,4,,HB,553387429,Quinshon Judkins,0,0,10618,10,1,0.30,1,0,0,7,0,0,2,7,2.00,7.00,4.75
Browns,CLE,4,,QB,553388636,Dorian Thompson-Robinson,2,0,2616,14,1,-0.20,5,0,1,9,0,0,2,18,2.00,3.60,57.00
Buccaneers,TB,5,,HB,553387244,Bucky Irving,1,0,10113,7,1,1.40,21,4,0,59,0,1,31,136,31.00,6.48,112.33
Buccaneers,TB,5,,TE,553388017,Cade Otton,3,0,1872,88,1,3.10,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Buccaneers,TB,5,,HB,553388853,Rachaad White,3,0,2028,1,1,8.90,3,0,0,17,1,0,3,29,3.00,9.67,15.33
Buccaneers,TB,5,,QB,553387689,Baker Mayfield,7,0,8982,6,1,2.30,6,0,0,9,0,0,1,23,1.00,3.83,22.00
Buccaneers,TB,5,,WR,553386928,Chris Godwin Jr,8,0,8567,14,1,7.90,0,1,0,0,0,0,0,0,0.00,0.00,-0.67
Cardinals,ARI,6,,WR,553387062,Marvin Harrison Jr,1,0,10102,18,1,18.50,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Cardinals,ARI,6,,HB,553386186,Trey Benson,1,0,10011,33,1,0.70,2,0,0,8,0,0,2,7,2.00,3.50,9.50
Cardinals,ARI,6,,WR,553388926,Michael Wilson,2,0,2480,14,1,5.50,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Cardinals,ARI,6,,QB,553387895,Kyler Murray,6,0,9583,1,1,6.60,8,2,0,26,0,1,9,66,9.00,8.25,63.00
