team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,passTotalAtt,passTotalComp,passAvgCompPct,passTotalInts,passTotalLongest,passerAvgRating,passTotalSacks,passTotalTDs,passTotalYds,passAvgYdsPerAtt,passAvgYdsPerGame
49ers,SF,14,,QB,553388147,Brock Purdy,3,0,1899,13,1,-2.00,34,20,58.82,1,55,79.10,5,1,249,7.32,249.33
Bears,CHI,0,,QB,553388871,Caleb Williams,1,0,10296,18,1,6.70,32,21,65.62,0,39,95.90,4,1,221,6.91,245.50
Bengals,CIN,1,,QB,553386364,Joe Burrow,5,0,198,9,1,22.12,49,39,79.59,3,34,95.80,0,3,403,8.22,294.67
Bills,BUF,2,,WR,553388365,Khalil Shakir,3,0,1942,10,1,0.30,0,1,0.00,0,0,0.00,0,0,0,0.00,0.00
Bills,BUF,2,,QB,553386033,Josh Allen,7,0,8800,17,1,3.20,34,25,73.53,1,20,73.40,5,0,182,5.35,279.00
Broncos,DEN,3,,QB,553387936,Bo Nix,1,0,10195,10,1,7.00,31,21,67.74,0,44,103.00,4,2,171,5.52,174.67
Browns,CLE,4,,HB,553387429,Quinshon Judkins,0,0,10618,10,1,0.30,0,1,0.00,0,0,0.00,0,0,0,0.00,0.00
Browns,CLE,4,,QB,553388636,Dorian Thompson-Robinson,2,0,2616,14,1,-0.20,18,8,44.44,1,72,64.30,9,1,129,7.17,213.50
Buccaneers,TB,5,,QB,553387689,Baker Mayfield,7,0,8982,6,1,2.30,32,21,65.62,1,74,118.80,5,4,273,8.53,275.00
Cardinals,ARI,6,,QB,553387895,Kyler Murray,6,0,9583,1,1,6.60,32,27,84.38,0,76,131.50,3,2,338,10.56,273.00
Chargers,LAC,7,,QB,553387119,Justin Herbert,5,0,346,10,1,7.60,41,24,58.54,0,34,95.30,3,2,278,6.78,263.67
Chiefs,KC,8,,HB,553388027,Isiah Pacheco,3,0,1875,10,1,-0.70,0,2,0.00,0,0,0.00,0,0,0,0.00,0.00
Chiefs,KC,8,,QB,553387644,Patrick Mahomes,8,0,8648,15,1,6.70,31,21,67.74,0,16,81.10,2,0,168,5.42,220.67
Colts,IND,9,,QB,553387388,Daniel Jones,6,0,9537,17,1,4.60,34,27,79.41,0,73,109.90,4,1,273,8.03,272.00
Commanders,WAS,25,,QB,553386563,Jayden Daniels,1,0,10048,5,1,6.20,37,23,62.16,1,25,70.10,3,0,244,6.59,246.33
Cowboys,DAL,10,,HB,553388886,Javonte Williams,4,0,1118,33,1,5.40,0,1,0.00,0,0,0.00,0,0,0,0.00,0.00
Cowboys,DAL,10,,QB,553388133,Dak Prescott,9,0,8179,4,1,-2.10,44,35,79.55,0,40,100.10,3,0,354,8.05,282.00
Dolphins,MIA,11,,QB,553388565,Tua Tagovailoa,5,0,600,1,1,-0.60,26,15,57.69,0,32,72.70,4,0,141,5.42,168.00
Eagles,PHI,12,,QB,553387229,Jalen Hurts,5,0,704,1,1,-0.90,17,11,64.71,0,65,127.00,3,2,130,7.65,182.33
Falcons,ATL,13,,QB,553388068,Michael Penix Jr,1,0,10207,9,1,1.10,39,17,43.59,0,29,53.60,3,0,143,3.67,208.67
Giants,NYG,15,,QB,553386569,Jaxson Dart,0,0,10533,6,1,-1.10,14,8,57.14,1,57,64.80,18,0,151,10.79,287.67
Jaguars,JAX,16,,QB,553387544,Trevor Lawrence,4,0,1372,16,1,1.60,32,26,81.25,0,53,121.20,3,2,259,8.09,195.00
Jets,NYJ,17,,QB,553386800,Justin Fields,4,0,1366,7,1,22.00,37,23,62.16,4,29,55.00,1,1,282,7.62,186.67
Lions,DET,18,,QB,553386931,Jared Goff,9,0,8021,16,1,12.72,54,33,61.11,2,21,68.20,1,1,318,5.89,256.00
Packers,GB,19,,QB,553387611,Jordan Love,5,0,433,10,1,1.40,34,21,61.76,2,42,67.20,2,1,232,6.82,237.00
Panthers,CAR,20,,QB,553389004,Bryce Young,2,0,2638,9,1,0.50,38,24,63.16,0,26,84.20,1,0,269,7.08,245.67
Patriots,NE,21,,QB,553387686,Drake Maye,1,0,10165,10,1,7.70,48,36,75.00,0,44,123.10,6,3,435,9.06,286.67
Raiders,LV,22,,QB,553388437,Geno Smith,12,0,6078,7,1,17.28,41,27,65.85,0,53,98.80,7,1,332,8.10,235.75
Rams,LAR,23,,QB,553388491,Matthew Stafford,16,0,6302,9,1,-2.20,53,35,66.04,0,26,85.40,5,1,280,5.28,221.67
Ravens,BAL,24,,WR,553386151,Rashod Bateman,4,0,1236,7,1,3.80,0,1,0.00,0,0,0.00,0,0,0,0.00,0.00
Ravens,BAL,24,,QB,553387273,Lamar Jackson,7,0,8940,8,1,8.20,27,22,81.48,0,30,121.40,0,2,195,7.22,222.33
Saints,NO,26,,QB,553388215,Anthony Richardson Sr,2,0,2609,5,1,4.40,32,19,59.38,1,31,73.00,8,1,185,5.78,285.67
Saints,NO,26,,WR,553386507,Brandin Cooks,11,0,6386,10,1,2.10,0,1,0.00,0,0,0.00,0,0,0,0.00,0.00
Seahawks,SEA,27,,QB,553387807,Jalen Milroe,0,0,10664,6,1,12.00,26,17,65.38,0,44,115.80,3,2,210,8.08,209.75
Steelers,PIT,28,,QB,553388266,Aaron Rodgers,20,0,6299,8,1,7.60,30,24,80.00,0,73,126.80,2,1,353,11.77,313.33
Texans,HOU,31,,QB,553388538,C.J. Stroud,2,0,2417,7,1,2.00,50,36,72.00,0,55,100.20,2,2,298,5.96,276.00
Titans,TEN,29,,QB,553388785,Cam Ward,0,0,10768,1,1,-0.20,41,22,53.66,2,57,61.00,5,1,260,6.34,187.00
Vikings,MIN,30,,QB,553387701,J.J. McCarthy,1,0,10167,9,1,10.40,35,26,74.29,0,30,108.20,2,1,292,8.34,265.00
