team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,puntsTotalBlocked,puntsTotalIn20,puntTotalLongest,puntTotalTBs,puntAvgNetYdsPerAtt,puntTotalNetYds,puntTotalAtt,puntAvgYdsPerAtt,puntTotalYds
49ers,SF,14,,P,553387862,Thomas Morstead,16,0,2184,7,1,0,0,47,0,41.67,125,3,42.67,128
Bears,CHI,0,,P,553388585,Tory Taylor,1,0,10262,19,1,0,4,48,0,38.50,231,6,40.67,244
Bengals,CIN,1,,P,553388192,Ryan Rehkow,1,0,10223,8,1,0,0,61,1,38.40,192,5,44.40,222
Bills,BUF,2,,P,553388948,Mitch Wishnowsky,6,0,9689,19,1,0,0,55,1,34.67,104,3,47.00,141
Broncos,DEN,3,,P,553386533,Jeremy Crawshaw,0,0,10530,16,1,0,1,44,0,35.00,140,4,41.50,166
Browns,CLE,4,,P,553386223,Corey Bojorquez,7,0,9325,13,1,0,4,58,1,38.44,346,9,44.22,398
Buccaneers,TB,5,,P,553386651,Riley Dixon,9,0,7978,9,1,0,0,43,0,36.25,145,4,41.25,165
Cardinals,ARI,6,,P,553386913,Blake Gillikin,5,0,878,12,1,0,2,50,0,34.00,136,4,34.00,136
Chargers,LAC,7,,P,553388348,JK Scott,7,0,9052,16,1,0,1,46,0,39.00,156,4,42.00,168
Chiefs,KC,8,,P,553386072,Matt Araiza,3,0,1140,14,1,0,1,58,2,40.40,202,5,52.40,262
Colts,IND,9,,P,553388317,Rigoberto Sanchez,8,0,9282,8,1,0,0,46,0,36.00,36,1,46.00,46
Commanders,WAS,25,,P,553388825,Tress Way,12,0,7370,10,1,0,1,49,0,43.75,175,4,46.50,186
Cowboys,DAL,10,,P,553386065,Bryan Anger,13,0,5023,5,1,0,4,50,1,37.50,225,6,41.33,248
Dolphins,MIA,11,,P,553386105,Jake Bailey,6,0,9373,16,1,0,1,58,1,35.44,319,9,43.22,389
Eagles,PHI,12,,P,553387649,Braden Mann,5,0,442,10,1,0,2,52,1,36.00,252,7,42.29,296
Falcons,ATL,13,,P,553388105,Bradley Pinion,10,0,7281,13,1,0,0,61,1,57.00,114,2,57.00,114
Giants,NYG,15,,P,553386910,Jamie Gillan,6,0,125,12,1,0,1,38,0,31.14,218,7,33.57,235
Jaguars,JAX,16,,P,553386506,Logan Cooke,7,0,9331,9,1,0,1,55,2,46.25,185,4,47.50,190
Jets,NYJ,17,,P,553386330,Jack Browning,1,0,0,17,1,0,1,48,1,36.80,184,5,41.20,206
Lions,DET,18,,P,553386841,Jack Fox,7,0,9460,3,1,0,0,49,0,38.67,232,6,44.33,266
Packers,GB,19,,P,553388845,Daniel Whelan,2,0,5263,19,1,0,0,43,0,40.00,40,1,43.00,43
Panthers,CAR,20,,P,553387662,Sam Martin,12,0,6649,6,1,0,1,44,0,41.00,246,6,42.33,254
Patriots,NE,21,,P,553386124,Bryce Baringer,2,0,2645,17,1,0,0,57,1,38.43,269,7,42.57,298
Raiders,LV,22,,P,553386479,A.J. Cole,6,0,220,6,1,0,0,51,0,37.67,113,3,48.00,144
Rams,LAR,23,,P,553386755,Ethan Evans,2,0,3146,42,1,0,4,62,2,39.14,274,7,47.00,329
Ravens,BAL,24,,P,553388524,Jordan Stout,3,0,1957,11,1,0,1,59,2,37.38,299,8,47.12,377
Saints,NO,26,,P,553386361,James Burnip,0,0,10512,46,1,0,1,47,0,41.80,209,5,43.80,219
Seahawks,SEA,27,,P,553386638,Michael Dickson,7,0,8870,4,1,0,1,50,0,37.86,265,7,42.86,300
Steelers,PIT,28,,P,553388759,Corliss Waitman,5,0,2658,3,1,0,2,44,0,36.50,219,6,37.67,226
Texans,HOU,31,,P,553388672,Tommy Townsend,5,0,620,6,1,0,0,48,0,35.75,143,4,41.75,167
Titans,TEN,29,,P,553387102,Johnny Hekker,13,0,5860,3,1,0,1,59,2,35.57,249,7,46.14,323
Vikings,MIN,30,,P,553388991,Ryan Wright,3,0,2671,17,1,0,0,39,0,31.00,93,3,36.67,110
