team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,recTotalCatches,recAvgCatchPct,recTotalDrops,recTotalLongest,recTotalTDs,recTotalYdsAfterCatch,recTotalYds,recAvgYacPerCatch,recAvgYdsPerCatch,recAvgYdsPerGame
49ers,SF,14,,HB,553386986,Isaac Guerendo,1,0,10091,31,1,6.20,1,100.00,0,2,1,1,2,1.00,2.00,4.00
49ers,SF,14,,WR,553388059,Ricky Pearsall,1,0,10206,1,1,8.40,4,100.00,0,42,0,21,84,5.25,21.00,49.00
49ers,SF,14,,WR,553386014,Brandon Aiyuk,5,0,71,11,1,6.70,8,100.00,0,19,0,27,67,3.38,8.38,40.00
49ers,SF,14,,WR,553387316,Jauan Jennings,5,0,391,15,1,16.60,5,100.00,0,12,2,5,46,1.00,9.20,50.00
49ers,SF,14,,HB,553387697,Christian McCaffrey,8,0,8655,23,1,3.00,5,100.00,0,14,0,28,30,5.60,6.00,28.00
49ers,SF,14,,TE,553387484,George Kittle,8,0,8622,85,1,15.30,7,100.00,0,30,1,38,93,5.43,13.29,61.00
49ers,SF,14,,FB,553387434,Kyle Juszczyk,12,0,6869,44,1,1.70,1,100.00,0,17,0,18,17,18.00,17.00,11.00
Bears,CHI,0,,TE,553387613,Colston Loveland,0,0,10639,84,1,3.50,2,100.00,0,26,0,12,35,6.00,17.50,41.00
Bears,CHI,0,,WR,553388591,Jahdae Walker,0,0,0,20,1,2.30,2,66.67,1,12,0,7,23,3.50,11.50,11.50
Bears,CHI,0,,WR,553386352,Luther Burden III,0,0,10510,10,1,2.10,3,100.00,0,10,0,8,21,2.67,7.00,23.00
Bears,CHI,0,,WR,553387964,Rome Odunze,1,0,10199,15,1,10.10,2,100.00,0,21,1,6,41,3.00,20.50,54.50
Bears,CHI,0,,TE,553387486,Cole Kmet,5,0,711,85,1,1.80,3,100.00,0,16,0,18,18,6.00,6.00,9.00
Bears,CHI,0,,HB,553388560,D'Andre Swift,5,0,599,4,1,5.30,5,100.00,0,30,0,22,53,4.40,10.60,26.50
Bears,CHI,0,,WR,553387844,DJ Moore,7,0,8995,2,1,10.40,3,75.00,1,18,1,4,44,1.33,14.67,46.00
Bengals,CIN,1,,WR,553387243,Andrei Iosivas,2,0,2229,80,1,12.30,4,100.00,0,44,1,47,63,11.75,15.75,37.50
Bengals,CIN,1,,HB,553386312,Chase Brown,2,0,1827,30,1,0.60,1,100.00,0,6,0,3,6,3.00,6.00,16.00
Bengals,CIN,1,,WR,553386439,Ja'Marr Chase,4,0,1370,1,1,16.40,4,100.00,0,70,1,71,104,17.75,26.00,104.00
Bengals,CIN,1,,WR,553387141,Tee Higgins,5,0,351,5,1,3.50,2,100.00,0,25,0,3,35,1.50,17.50,32.00
Bengals,CIN,1,,TE,553386774,Noah Fant,6,0,9452,86,1,1.00,1,100.00,0,10,0,2,10,2.00,10.00,5.00
