team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,passTotalAtt,passTotalComp,passAvgCompPct,passTotalInts,passTotalLongest,passerAvgRating,passTotalSacks,passTotalTDs,passTotalYds,passAvgYdsPerAtt,passAvgYdsPerGame
49ers,SF,14,,QB,553388147,Brock Purdy,3,0,1899,13,1,4.60,42,28,66.67,0,16,73.50,5,0,160,3.81,249.50
Bears,CHI,0,,QB,553388871,Caleb Williams,1,0,10296,18,1,3.10,34,17,50.00,0,40,78.60,5,1,205,6.03,220.00
Bengals,CIN,1,,QB,553386364,Joe Burrow,5,0,198,9,1,6.00,43,23,53.49,1,67,73.40,2,2,216,5.02,240.50
Bills,BUF,2,,QB,553386033,Josh Allen,7,0,8800,17,1,3.30,43,29,67.44,0,34,104.50,2,2,317,7.37,327.50
Broncos,DEN,3,,QB,553387936,Bo Nix,1,0,10195,10,1,15.40,33,21,63.64,3,20,42.10,4,0,197,5.97,176.50
Browns,CLE,4,,QB,553388636,Dorian Thompson-Robinson,2,0,2616,14,1,14.50,31,19,61.29,1,51,86.80,3,1,271,8.74,215.00
Buccaneers,TB,5,,QB,553387689,Baker Mayfield,7,0,8982,6,1,-1.50,50,31,62.00,2,75,77.90,0,2,331,6.62,276.00
Cardinals,ARI,6,,QB,553387895,Kyler Murray,6,0,9583,1,1,10.60,30,22,73.33,0,31,119.10,1,2,243,8.10,232.50
Chargers,LAC,7,,QB,553387119,Justin Herbert,5,0,346,10,1,5.00,28,22,78.57,1,23,105.00,2,2,198,7.07,256.50
Chiefs,KC,8,,QB,553387644,Patrick Mahomes,8,0,8648,15,1,0.20,43,33,76.74,2,25,90.60,1,2,294,6.84,220.67
Colts,IND,9,,QB,553387388,Daniel Jones,6,0,9537,17,1,1.40,26,23,88.46,0,35,141.00,4,2,304,11.69,271.50
Commanders,WAS,25,,QB,553386563,Jayden Daniels,1,0,10048,5,1,9.30,38,21,55.26,1,36,74.40,7,1,260,6.84,246.33
Cowboys,DAL,10,,QB,553388133,Dak Prescott,9,0,8179,4,1,3.50,55,38,69.09,0,20,83.50,3,1,235,4.27,246.00
Dolphins,MIA,11,,QB,553388565,Tua Tagovailoa,5,0,600,1,1,11.60,23,20,86.96,1,19,103.90,5,2,146,6.35,181.50
Eagles,PHI,12,,QB,553387229,Jalen Hurts,5,0,704,1,1,-0.30,34,19,55.88,1,25,79.90,0,2,195,5.74,208.50
Falcons,ATL,13,,QB,553388068,Michael Penix Jr,1,0,10207,9,1,7.70,32,21,65.62,0,63,108.50,2,2,238,7.44,241.50
Giants,NYG,15,,QB,553386569,Jaxson Dart,0,0,10533,6,1,1.40,35,23,65.71,1,71,97.00,5,1,358,10.23,287.67
Giants,NYG,15,,TE,553387360,Theo Johnson,1,0,10130,84,1,2.40,1,0,0.00,0,0,39.50,0,0,0,0.00,0.00
Jaguars,JAX,16,,QB,553387544,Trevor Lawrence,4,0,1372,16,1,0.50,20,13,65.00,1,42,60.40,0,0,120,6.00,163.00
Jets,NYJ,17,,QB,553386800,Justin Fields,4,0,1366,7,1,26.50,31,18,58.06,1,42,73.00,5,1,188,6.06,139.00
Lions,DET,18,,QB,553386931,Jared Goff,9,0,8021,16,1,1.40,32,23,71.88,0,36,98.10,2,1,198,6.19,273.67
Packers,GB,19,,QB,553387611,Jordan Love,5,0,433,10,1,1.80,35,20,57.14,1,30,59.20,1,0,180,5.14,237.00
Panthers,CAR,20,,QB,553389004,Bryce Young,2,0,2638,9,1,-1.10,25,13,52.00,0,35,74.20,1,0,173,6.92,234.00
Patriots,NE,21,,HB,553387109,TreVeyon Henderson,0,0,10584,32,1,1.50,0,2,0.00,0,0,0.00,0,0,0,0.00,0.00
Patriots,NE,21,,QB,553387686,Drake Maye,1,0,10165,10,1,-0.20,30,16,53.33,1,26,52.60,1,0,144,4.80,286.67
Raiders,LV,22,,QB,553388437,Geno Smith,12,0,6078,7,1,5.30,26,16,61.54,0,30,77.70,9,0,152,5.85,243.33
Rams,LAR,23,,QB,553388491,Matthew Stafford,16,0,6302,9,1,7.40,46,35,76.09,1,30,90.30,2,1,295,6.41,192.50
Ravens,BAL,24,,QB,553387273,Lamar Jackson,7,0,8940,8,1,4.60,33,25,75.76,1,42,120.20,1,3,296,8.97,222.33
Saints,NO,26,,QB,553388215,Anthony Richardson Sr,2,0,2609,5,1,0.60,41,26,63.41,3,83,64.70,5,1,317,7.73,285.67
Saints,NO,26,,WR,553386507,Brandin Cooks,11,0,6386,10,1,15.60,0,1,0.00,0,0,0.00,0,0,0,0.00,0.00
Seahawks,SEA,27,,QB,553387807,Jalen Milroe,0,0,10664,6,1,5.10,31,16,51.61,0,55,80.80,7,1,186,6.00,183.33
Steelers,PIT,28,,QB,553388266,Aaron Rodgers,20,0,6299,8,1,0.20,36,20,55.56,1,40,86.10,6,2,266,7.39,313.33
Texans,HOU,31,,QB,553388538,C.J. Stroud,2,0,2417,7,1,0.60,28,24,85.71,1,40,102.90,3,1,264,9.43,265.00
Titans,TEN,29,,QB,553388785,Cam Ward,0,0,10768,1,1,1.50,24,13,54.17,3,26,22.70,11,0,87,3.62,150.50
Vikings,MIN,30,,QB,553387701,J.J. McCarthy,1,0,10167,9,1,-0.70,34,19,55.88,1,45,80.50,5,1,280,8.24,251.50
