team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,rushTotalAtt,rushTotalBrokenTackles,rushTotalFum,rushTotalLongest,rushTotalTDs,rushTotal20PlusYds,rushTotalYdsAfterContact,rushTotalYds,rushAvgYdsAfterContact,rushAvgYdsPerAtt,rushAvgYdsPerGame
49ers,SF,14,,HB,553386986,Isaac Guerendo,1,0,10091,31,1,0.60,1,0,0,19,0,0,1,19,1.00,19.00,9.50
49ers,SF,14,,QB,553388147,Brock Purdy,3,0,1899,13,1,4.60,5,0,0,19,0,0,0,46,0.00,9.20,30.00
49ers,SF,14,,HB,553387697,Christian McCaffrey,8,0,8655,23,1,2.60,19,7,0,21,0,1,30,45,30.00,2.37,67.50
49ers,SF,14,,TE,553387484,George Kittle,8,0,8622,85,1,2.90,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Bears,CHI,0,,HB,553387830,Kyle Monangai,0,0,10666,25,1,7.00,17,5,0,5,0,0,18,9,18.00,0.53,4.50
Bears,CHI,0,,QB,553388871,Caleb Williams,1,0,10296,18,1,3.10,3,0,1,24,0,2,8,51,8.00,17.00,47.00
Bears,CHI,0,,TE,553387486,Cole Kmet,5,0,711,85,1,1.30,2,0,0,9,0,0,3,13,3.00,6.50,8.50
Bears,CHI,0,,HB,553388560,D'Andre Swift,5,0,599,4,1,0.10,1,0,0,1,0,0,1,1,1.00,1.00,23.00
Bengals,CIN,1,,HB,553386312,Chase Brown,2,0,1827,30,1,2.60,22,3,0,17,0,0,47,158,47.00,7.18,98.50
Bengals,CIN,1,,QB,553386364,Joe Burrow,5,0,198,9,1,6.00,6,0,1,9,1,0,4,20,4.00,3.33,20.50
Bengals,CIN,1,,TE,553386900,Mike Gesicki,7,0,8900,88,1,4.50,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Bengals,CIN,1,,HB,553388076,Samaje Perine,9,0,8685,34,1,0.30,1,0,0,3,0,0,2,3,2.00,3.00,8.00
Bills,BUF,2,,TE,553387469,Dalton Kincaid,2,0,2277,86,1,9.10,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Bills,BUF,2,,HB,553386505,James Cook III,3,0,1304,4,1,13.20,17,3,0,19,1,0,37,72,37.00,4.24,56.50
Bills,BUF,2,,WR,553388030,Joshua Palmer,4,0,1248,5,1,12.10,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Bills,BUF,2,,HB,553387361,Ty Johnson,6,0,136,26,1,0.00,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Bills,BUF,2,,QB,553386033,Josh Allen,7,0,8800,17,1,3.30,6,3,0,18,0,0,12,33,12.00,5.50,31.00
Broncos,DEN,3,,WR,553386343,Pat Bryant,0,0,10507,13,1,0.00,1,0,0,0,0,0,1,0,1.00,0.00,0.00
Broncos,DEN,3,,HB,553387072,RJ Harvey,0,0,10579,12,1,7.70,19,4,0,13,1,0,20,25,20.00,1.32,45.00
Broncos,DEN,3,,QB,553387936,Bo Nix,1,0,10195,10,1,15.40,8,0,0,11,2,0,8,34,8.00,4.25,23.00
Broncos,DEN,3,,WR,553387811,Marvin Mims Jr,2,0,2312,19,1,7.10,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Broncos,DEN,3,,FB,553388132,Adam Prentice,4,0,1016,46,1,-0.10,2,0,0,0,0,0,1,-1,1.00,-0.50,-0.50
Browns,CLE,4,,HB,553388312,Dylan Sampson,0,0,10716,22,1,2.00,14,2,0,9,1,0,10,19,10.00,1.36,57.67
Browns,CLE,4,,WR,553389142,Gage Larvadain,0,0,11012,84,1,5.60,1,0,0,0,0,0,0,-3,0.00,-3.00,-1.00
Browns,CLE,4,,HB,553387429,Quinshon Judkins,0,0,10618,10,1,1.10,1,0,0,11,0,0,3,11,3.00,11.00,6.67
Browns,CLE,4,,HB,553389106,Raheim Sanders,0,0,10717,35,1,0.00,1,1,0,0,0,0,0,0,0.00,0.00,0.00
Browns,CLE,4,,QB,553388636,Dorian Thompson-Robinson,2,0,2616,14,1,14.50,8,0,1,53,1,2,0,105,0.00,13.12,53.33
Buccaneers,TB,5,,WR,553386714,Emeka Egbuka,0,0,10542,2,1,18.50,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Buccaneers,TB,5,,HB,553387244,Bucky Irving,1,0,10113,7,1,10.60,17,4,0,12,1,0,24,96,24.00,5.65,100.50
Buccaneers,TB,5,,WR,553387351,Kameron Johnson,1,0,10924,19,1,0.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Buccaneers,TB,5,,HB,553388853,Rachaad White,3,0,2028,1,1,0.20,1,0,0,2,0,0,0,2,0.00,2.00,8.50
Buccaneers,TB,5,,QB,553387689,Baker Mayfield,7,0,8982,6,1,-1.50,3,0,1,2,0,0,0,5,0.00,1.67,21.50
Buccaneers,TB,5,,WR,553386928,Chris Godwin Jr,8,0,8567,14,1,4.70,1,0,0,0,0,0,0,-2,0.00,-2.00,-1.00
Cardinals,ARI,6,,HB,553386186,Trey Benson,1,0,10011,33,1,0.60,3,2,0,5,0,0,10,8,10.00,2.67,15.50
