id,team,seasonIndex,stageIndex,weekIndex,totalLosses,totalTies,totalWins,rank,prevRank,ptsAgainstRank,ptsForRank,offPassYdsRank,offRushYdsRank,offTotalYdsRank,defPassYdsRank,defRushYdsRank,defTotalYdsRank
11223221,Packers,0,0,0,0,0,0,16,0,16,17,17,17,17,16,16,16
11223214,Texans,0,0,0,0,0,0,26,0,22,11,11,11,11,22,22,22
11223215,Jets,0,0,0,0,0,0,21,0,14,19,19,19,19,14,14,14
11223216,Bills,0,0,0,0,0,0,23,0,2,31,31,31,31,2,2,2
11223217,Broncos,0,0,0,0,0,0,18,0,3,30,30,30,30,3,3,3
11223218,Chargers,0,0,0,0,0,0,19,0,6,27,27,27,27,6,6,6
11223219,Chiefs,0,0,0,0,0,0,20,0,7,26,26,26,26,7,7,7
11223220,Lions,0,0,0,0,0,0,15,0,15,18,18,18,18,15,15,15
11223211,Ravens,0,0,0,0,0,0,2,0,19,14,14,14,14,19,19,19
11223222,Vikings,0,0,0,0,0,0,17,0,24,9,9,9,9,24,24,24
11223223,Panthers,0,0,0,0,0,1,4,0,28,2,1,3,1,30,29,30
11223224,Cowboys,0,0,0,0,0,0,9,0,10,23,23,23,23,10,10,10
11223225,Commanders,0,0,0,0,0,0,11,0,9,24,24,24,24,9,9,9
11223226,Rams,0,0,0,0,0,0,7,0,18,15,15,15,15,18,18,18
11223227,Bengals,0,0,0,1,0,0,32,0,32,7,5,8,8,25,32,31
11223228,Jaguars,0,0,0,0,0,0,24,0,13,20,20,20,20,13,13,13
11223229,Titans,0,0,0,0,0,0,25,0,23,10,10,10,10,23,23,23
11223230,Colts,0,0,0,0,0,0,27,0,8,25,25,25,25,8,8,8
11223231,Dolphins,0,0,0,1,0,0,29,0,30,6,2,7,4,26,28,26
11223232,Patriots,0,0,0,0,0,0,22,0,17,16,16,16,16,17,17,17
11223233,Raiders,0,0,0,1,0,0,31,0,29,8,4,6,6,27,31,28
11223234,Bears,0,0,0,0,0,1,5,0,27,3,7,5,7,31,26,29
11223235,Falcons,0,0,0,0,0,0,12,0,11,22,22,22,22,11,11,11
11223236,Saints,0,0,0,0,0,0,13,0,20,13,13,13,13,20,20,20
11223237,Buccaneers,0,0,0,0,0,0,14,0,4,29,29,29,29,4,4,4
11223238,Eagles,0,0,0,0,0,1,1,0,26,1,8,1,2,28,25,25
11223239,Giants,0,0,0,0,0,0,10,0,12,21,21,21,21,12,12,12
11223240,49ers,0,0,0,0,0,0,6,0,1,32,32,32,32,1,1,1
11223241,Seahawks,0,0,0,0,0,1,3,0,25,4,6,2,5,29,27,27
11223242,Cardinals,0,0,0,0,0,0,8,0,5,28,28,28,28,5,5,5
11223212,Steelers,0,0,0,0,0,0,28,0,21,12,12,12,12,21,21,21
11223213,Browns,0,0,0,1,0,0,30,0,31,5,3,4,3,32,30,32
11233487,Browns,0,0,3,3,0,0,30,0,25,22,10,17,12,10,29,22
11233456,Ravens,0,0,3,1,0,2,5,0,2,10,26,10,27,4,8,3
11233472,Titans,0,0,3,2,0,1,23,0,23,20,27,22,28,16,22,20
11233457,Texans,0,0,3,1,0,2,9,0,19,1,17,2,4,30,4,26
11233480,Buccaneers,0,0,3,1,0,2,13,0,4,18,11,7,9,15,3,7
11233458,Jets,0,0,3,2,0,1,19,0,31,5,6,15,8,32,23,32
11233473,Colts,0,0,3,1,0,2,8,0,11,27,29,6,26,7,6,5
11233459,Bills,0,0,3,2,1,0,29,0,16,29,15,23,21,17,20,17
11233484,Seahawks,0,0,3,1,0,2,14,0,7,13,28,3,23,9,26,9
11233460,Broncos,0,0,3,2,0,1,26,0,32,17,21,12,20,29,9,25
11233474,Dolphins,0,0,3,3,0,0,32,0,27,24,9,21,15,18,25,23
11233461,Chargers,0,0,3,2,0,1,24,0,24,21,13,18,14,27,19,28
11233481,Eagles,0,0,3,0,0,3,4,0,14,3,25,1,5,8,5,4
11233462,Chiefs,0,0,3,1,0,2,12,0,10,11,22,13,24,13,10,8
11233475,Patriots,0,0,3,2,0,1,18,0,22,9,2,32,2,28,2,21
11233463,Lions,0,0,3,1,0,2,6,0,28,8,4,20,6,26,30,31
11233486,Steelers,0,0,3,2,0,1,20,0,13,31,23,27,29,21,12,15
11233464,Packers,0,0,3,2,0,1,17,0,21,15,19,14,16,12,24,12
11233476,Raiders,0,0,3,3,0,0,31,0,18,32,31,26,32,2,31,14
11233465,Vikings,0,0,3,2,0,1,27,0,29,26,12,25,22,19,28,24
11233482,Giants,0,0,3,1,1,1,16,0,30,4,1,30,1,31,15,30
11233466,Panthers,0,0,3,0,0,3,3,0,12,2,5,9,3,11,27,10
11233477,Bears,0,0,3,1,0,2,15,0,6,19,32,11,30,22,13,18
11233467,Cowboys,0,0,3,1,0,2,7,0,5,28,8,28,25,5,17,6
11233485,Cardinals,0,0,3,1,0,2,10,0,9,6,14,16,13,1,16,1
11233468,Commanders,0,0,3,2,0,1,25,0,26,25,7,24,17,25,18,27
11233478,Falcons,0,0,3,2,0,1,21,0,17,12,16,8,10,23,14,19
11233469,Rams,0,0,3,0,0,3,2,0,3,14,24,4,18,24,7,16
11233483,49ers,0,0,3,1,0,2,11,0,8,7,20,5,11,20,11,11
11233470,Bengals,0,0,3,2,0,1,28,0,20,30,30,29,31,3,32,29
11233479,Saints,0,0,3,2,0,1,22,0,15,23,3,31,7,14,21,13
11233471,Jaguars,0,0,3,0,0,3,1,0,1,16,18,19,19,6,1,2
